Ligase,Scaffold_ID,RECRUITER_CODE,Scaffold_SMILES,Scaffold_Hash
CHIP,CHIP_SCAF_1,L00193,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
CHIP,CHIP_SCAF_2,L00029,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,5d57d650
CHIP,CHIP_SCAF_3,L00207,O=c1ncccn1[C@H]1CCCO1,dd2ba3e3
CHIP,CHIP_SCAF_4,L00109,c1ccc(CNc2nc3cncnc3n2[C@H]2CC[C@@H](COCc3ccccc3)O2)cc1,fac55069
CHIP,CHIP_SCAF_5,L00444,C(C(=O)O)NC(CO)(CO)CO,3fdb2b75
CHIP,CHIP_SCAF_6,L00002,O=C(NCCc1c[nH]cn1)C1CC=CC1,6d930456
CHIP,CHIP_SCAF_7,L00034,c1ccccc1,84480431
CRBN,CRBN_SCAF_1,L00003,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,855910bc
CRBN,CRBN_SCAF_2,L00011,O=C1CC[C@H](N2Cc3ccccc3C2=O)C(=O)N1,43f1414e
CRBN,CRBN_SCAF_1,L00006,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,855910bc
CRBN,CRBN_SCAF_3,L00219,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,427a14f4
CRBN,CRBN_SCAF_4,L00032,O=C1CC[C@H](N2Cc3cc(CNC(=O)Nc4ccccc4)ccc3C2=O)C(=O)N1,cefeac87
CRBN,CRBN_SCAF_5,L00187,O=C1CCC(c2ccccc2)C(=O)N1,afaf882a
CRBN,CRBN_SCAF_6,L00381,O=C1C[C@H](c2cccc(OC3CCCC3)c2)CN1,5a155197
CRBN,CRBN_SCAF_7,L00016,O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,4909685b
CRBN,CRBN_SCAF_8,L00153,O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,ca830c99
CRBN,CRBN_SCAF_9,L00292,O=C1CC[C@H](NC(=O)c2ccccc2)C(=O)N1,273099a7
CRBN,CRBN_SCAF_10,L00297,O=C1C[C@H](NC(=O)c2ccccc2)C(=O)N1,ab9faff6
CRBN,CRBN_SCAF_11,L00298,O=C1C[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,fffd9473
CRBN,CRBN_SCAF_11,L00294,O=C1C[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,fffd9473
CRBN,CRBN_SCAF_10,L00295,O=C1C[C@H](NC(=O)c2ccccc2)C(=O)N1,ab9faff6
CRBN,CRBN_SCAF_10,L00293,O=C1C[C@H](NC(=O)c2ccccc2)C(=O)N1,ab9faff6
CRBN,CRBN_SCAF_11,L00296,O=C1C[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,fffd9473
CRBN,CRBN_SCAF_12,L00302,O=C1C[C@H](NC(=O)Cc2ccccc2)C(=O)N1,a50edc35
CRBN,CRBN_SCAF_13,L00299,O=C1C[C@H](NC(=O)CCc2ccccc2)C(=O)N1,0f8f30b6
CRBN,CRBN_SCAF_14,L00301,O=C1C[C@H](NC(=O)OCc2ccccc2)C(=O)N1,b5d8c602
CRBN,CRBN_SCAF_15,L00300,O=C1C[C@H](NC(=O)OC[C@@H]2CCCN2)C(=O)N1,cd394483
CRBN,CRBN_SCAF_16,L00305,O=C1CC[C@H](NC(=O)OC[C@H]2CCCN2)C(=O)N1,848a5bd1
CRBN,CRBN_SCAF_14,L00303,O=C1C[C@H](NC(=O)OCc2ccccc2)C(=O)N1,b5d8c602
CRBN,CRBN_SCAF_14,L00304,O=C1C[C@H](NC(=O)OCc2ccccc2)C(=O)N1,b5d8c602
CRBN,CRBN_SCAF_10,L00306,O=C1C[C@H](NC(=O)c2ccccc2)C(=O)N1,ab9faff6
CRBN,CRBN_SCAF_17,L00308,O=C1CC[C@H](NC(=O)OCC2CCCCC2)C(=O)N1,9ea40b00
CRBN,CRBN_SCAF_18,L00307,O=C1CCC(=O)N1,629d8141
CRBN,CRBN_SCAF_19,L00430,O=C(Cc1ccccc1)NCc1ccc2c(c1)CN([C@H]1CCC(=O)NC1=O)C2=O,ed7b80c0
CRBN,CRBN_SCAF_1,L00234,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,855910bc
CRBN,CRBN_SCAF_20,L00051,O=C1CC[C@H](N2C(=O)C=C(Nc3cccc(CCC(=O)Nc4ccccc4)c3)C2=O)C(=O)N1,6a2966dc
CRBN,CRBN_SCAF_21,L00167,O=C1CC[C@H](n2nc3ccccc3n2)C(=O)N1,10b06a9f
CRBN,CRBN_SCAF_22,L00169,O=C1CC[C@H](n2cnc3ccccc3c2=O)C(=O)N1,9df3e0bf
CRBN,CRBN_SCAF_23,L00182,O=C1CC[C@H](c2ccccc2)C(=O)N1,b7614781
CRBN,CRBN_SCAF_24,L00043,O=C1CC[C@H](N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1,4556ee91
CRBN,CRBN_SCAF_25,L00335,O=C1CC[C@H](CSc2ccccc2)C(=O)N1,cdbc44ed
CRBN,CRBN_SCAF_26,L00337,O=C1CC[C@H](CS(=O)(=O)c2ccccc2)C(=O)N1,03da879d
CRBN,CRBN_SCAF_27,L00012,O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCN(c6ccccc6)CC5)cc4)cccc3C2=O)C(=O)N1,477b27df
CRBN,CRBN_SCAF_28,L00485,O=C1CC[C@H](N2Cc3cc(Nc4noc5ccccc45)ccc3C2=O)C(=O)N1,23d7282c
CRBN,CRBN_SCAF_1,L00451,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,855910bc
CRBN,CRBN_SCAF_9,L00462,O=C1CC[C@H](NC(=O)c2ccccc2)C(=O)N1,273099a7
CRBN,CRBN_SCAF_9,L00465,O=C1CC[C@H](NC(=O)c2ccccc2)C(=O)N1,273099a7
CRBN,CRBN_SCAF_9,L00463,O=C1CC[C@H](NC(=O)c2ccccc2)C(=O)N1,273099a7
CRBN,CRBN_SCAF_9,L00464,O=C1CC[C@H](NC(=O)c2ccccc2)C(=O)N1,273099a7
CRBN,CRBN_SCAF_9,L00461,O=C1CC[C@H](NC(=O)c2ccccc2)C(=O)N1,273099a7
CRBN,CRBN_SCAF_9,L00460,O=C1CC[C@H](NC(=O)c2ccccc2)C(=O)N1,273099a7
CRBN,CRBN_SCAF_9,L00458,O=C1CC[C@H](NC(=O)c2ccccc2)C(=O)N1,273099a7
CRBN,CRBN_SCAF_29,L00004,O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1,fd8a02f9
CRBN,CRBN_SCAF_30,L00486,O=C1CC[C@]2(CC(c3ccccc3)=NO2)C(=O)N1,9f3c713c
CRBN,CRBN_SCAF_31,L00045,O=C1CC[C@H](N2C(=O)c3ccc(N4CCOCC4)cc3C2=O)C(=O)N1,d99014c2
CRBN,CRBN_SCAF_32,L00415,O=C1CC[C@H](N2Cc3cc(OC[C@H]4CCCCN4)ccc3C2=O)C(=O)N1,a55574c2
CRBN,CRBN_SCAF_33,L00001,[BH2-]1OC2OCC[C@H]2O1,606001e6
CRBN,CRBN_SCAF_34,L00002,O=C(NCCc1c[nH]cn1)C1CC=CC1,6d930456
CRBN,CRBN_SCAF_35,L00005,O=C1CCc2cc(NS(=O)(=O)Cc3ccccc3)ccc2N1,d11e055c
CRBN,CRBN_SCAF_36,L00034,c1ccccc1,84480431
DCAF1,DCAF1_SCAF_1,L00196,c1ccc(N2CCC[C@@H](Nc3cc(N4CCOCC4)ncn3)C2)cc1,6ea387f3
DCAF1,DCAF1_SCAF_2,L00336,O=C(NCc1ccccc1)c1c[nH]nc1-c1ccccc1,697c0e3f
DCAF1,DCAF1_SCAF_2,L00477,O=C(NCc1ccccc1)c1c[nH]nc1-c1ccccc1,697c0e3f
DCAF1,DCAF1_SCAF_3,L00042,C1=C(c2ccccc2)N2CCN=C2c2ccccc21,2054ec20
DCAF1,DCAF1_SCAF_4,L00448,N=C1C[C@H](c2cccc(Oc3ccccc3)c2)CN1,659ffb71
DCAF1,DCAF1_SCAF_5,L00447,c1ccc(CCc2cc3ccccc3c3nccn23)cc1,f90df9ca
DCAF1,DCAF1_SCAF_6,L00446,c1ccc(C2(c3cc4ccccc4c4nccn34)CC2)cc1,aec72761
DCAF1,DCAF1_SCAF_7,L00445,C1=C(C2(c3ccccc3)CC2)N2CCN=C2c2ccc(N3CCNCC3)cc21,db3864ed
DCAF1,DCAF1_SCAF_8,L00450,c1ccc(C2(c3ncc4ccc(N5CCNCC5)cc4n3)CC2)cc1,d91107e6
DCAF1,DCAF1_SCAF_9,L00449,c1ccc(C2(c3ncc4ccc(N5CCNCC5)cc4n3)CCCC2)cc1,6613fdd5
DCAF1,DCAF1_SCAF_10,L00001,[BH2-]1OC2OCC[C@H]2O1,606001e6
DCAF1,DCAF1_SCAF_11,L00005,O=C1CCc2cc(NS(=O)(=O)Cc3ccccc3)ccc2N1,d11e055c
DCAF15,DCAF15_SCAF_1,L00047,O=S(=O)(Nc1cccc2cc[nH]c12)c1ccccc1,d38cedba
DCAF15,DCAF15_SCAF_2,L00351,O=C(NS(=O)(=O)c1cccs1)c1ccccc1,9caccf97
DCAF15,DCAF15_SCAF_1,L00022,O=S(=O)(Nc1cccc2cc[nH]c12)c1ccccc1,d38cedba
DCAF15,DCAF15_SCAF_1,L00358,O=S(=O)(Nc1cccc2cc[nH]c12)c1ccccc1,d38cedba
DCAF15,DCAF15_SCAF_3,L00004,O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1,fd8a02f9
DCAF16,DCAF16_SCAF_1,L00484,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,3f8d288b
HUWE1,HUWE1_SCAF_1,L00010,O=c1ncccn1[C@H]1CCCO1,dd2ba3e3
HUWE1,HUWE1_SCAF_2,L00036,c1cn2cnc3c(ncn3[C@H]3CCCO3)c2n1,457de220
HUWE1,HUWE1_SCAF_3,L00020,C1CCOC1,65795e83
HUWE1,HUWE1_SCAF_4,L00018,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,5d57d650
HUWE1,HUWE1_SCAF_5,L00190,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
HUWE1,HUWE1_SCAF_5,L00019,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
HUWE1,HUWE1_SCAF_6,L00422,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,427a14f4
HUWE1,HUWE1_SCAF_5,L00154,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
HUWE1,HUWE1_SCAF_7,L00015,O=c1[nH]cnc2c1[nH]c(=O)n2[C@H]1CCCO1,f5eb2f86
HUWE1,HUWE1_SCAF_8,L00276,O=C(CNCCc1c[nH]c2ccccc12)Nc1sc2c(c1C(=O)NCc1ccccc1)CCCC2,cfa9a5d7
HUWE1,HUWE1_SCAF_9,L00275,O=C(CCNc1ccccc1)Nc1scc(-c2ccccc2)c1C(=O)NCc1ccccc1,997b697d
HUWE1,HUWE1_SCAF_10,L00059,c1ncc2ncn([C@H]3CCC4C[C@@H]43)c2n1,3a594800
HUWE1,HUWE1_SCAF_11,L00060,c1ncc2ncn([C@@]34CCC[C@@H]3C4)c2n1,bd615db5
HUWE1,HUWE1_SCAF_12,L00035,O=c1[nH]cnc2c1nc(Nc1ccc3ccc4cccc5ccc1c3c45)n2[C@H]1CCCO1,f7bf1bc0
HUWE1,HUWE1_SCAF_13,L00226,O=c1[nH]c2nccn2c2c1ncn2[C@H]1CCCO1,7718f69b
HUWE1,HUWE1_SCAF_1,L00069,O=c1ncccn1[C@H]1CCCO1,dd2ba3e3
HUWE1,HUWE1_SCAF_1,L00027,O=c1ncccn1[C@H]1CCCO1,dd2ba3e3
HUWE1,HUWE1_SCAF_14,L00242,C1=[NH+]CCN1,3aca7c1e
HUWE1,HUWE1_SCAF_15,L00215,c1ccc2ncc(CN[C@H]3C[C@@H](N4CCOCC4)[C@@H]4OC[C@H]3O4)cc2c1,ea1e3ae9
HUWE1,HUWE1_SCAF_16,L00168,O=C1C=C2N(C(=O)c3cc4ccccc4[nH]3)C[C@H]3C[C@@]23c2cc(C(=O)N3CCc4c3ccc3[nH]ccc43)[nH]c21,72a958c3
HUWE1,HUWE1_SCAF_17,L00264,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O,bdfaa371
HUWE1,HUWE1_SCAF_18,L00227,O=c1cc(Nc2ccccc2)[nH]c2ccccc12,5a256859
HUWE1,HUWE1_SCAF_19,L00013,c1cnc2c(c1)ccc1cccnc12,88e5f8a8
HUWE1,HUWE1_SCAF_20,L00053,c1ccc2ccccc2c1,01f31866
HUWE1,HUWE1_SCAF_21,L00413,c1ccccc1,84480431
HUWE1,HUWE1_SCAF_21,L00239,c1ccccc1,84480431
HUWE1,HUWE1_SCAF_5,L00213,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
HUWE1,HUWE1_SCAF_22,L00432,O=C1CCC(=O)N1,629d8141
HUWE1,HUWE1_SCAF_23,L00007,c1ccc(CNCc2ccccc2)cc1,418e9198
HUWE1,HUWE1_SCAF_24,L00046,C1COCCN1,d28d1202
KEAP1,KEAP1_SCAF_1,L00038,O=C(NCc1ccccc1)Nc1nnc(-c2ccco2)o1,ecbb6fde
KEAP1,KEAP1_SCAF_2,L00395,O=C1C=C2C(CC[C@H]3CC=CCC23)C2CCC3CCCC[C@H]3[C@@H]12,0b26e46c
KEAP1,KEAP1_SCAF_3,L00065,O=C1c2ccccc2C(=O)N1C[C@@H]1c2ccccc2CCN1C(=O)C1CCCCC1,05912b3c
KEAP1,KEAP1_SCAF_4,L00125,O=C(CSc1ncc(S(=O)(=O)c2ccccc2)c(=O)[nH]1)Nc1ccccc1,311b46d0
KEAP1,KEAP1_SCAF_5,L00273,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccccc2)c2ccccc12)c1ccccc1,f5221fa3
KEAP1,KEAP1_SCAF_3,L00083,O=C1c2ccccc2C(=O)N1C[C@@H]1c2ccccc2CCN1C(=O)C1CCCCC1,05912b3c
KEAP1,KEAP1_SCAF_6,L00084,O=C1c2ccccc2C(=O)N1C[C@@H]1c2ccccc2CCN1C(=O)[C@@H]1CCCC[C@@H]1c1nnn[nH]1,e51c3915
KEAP1,KEAP1_SCAF_7,L00085,O=C1c2ccccc2CN1C[C@@H]1c2ccccc2CCN1C(=O)C1CCCCC1,58de46d6
KEAP1,KEAP1_SCAF_7,L00095,O=C1c2ccccc2CN1C[C@@H]1c2ccccc2CCN1C(=O)C1CCCCC1,58de46d6
KEAP1,KEAP1_SCAF_5,L00120,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccccc2)c2ccccc12)c1ccccc1,f5221fa3
KEAP1,KEAP1_SCAF_5,L00314,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccccc2)c2ccccc12)c1ccccc1,f5221fa3
KEAP1,KEAP1_SCAF_8,L00144,O=S(=O)(Nc1ccc(N2CCCC2)c2ccccc12)c1ccccc1,3e8a6e51
KEAP1,KEAP1_SCAF_9,L00411,C1=CC[C@@H]2CCc3cncnc3C2C1,200a7ad8
KEAP1,KEAP1_SCAF_10,L00145,C1=CC[C@@H]2CCc3c(n[nH]c3-c3cccnc3)C2C1,8a66dc8b
