Ligase,Scaffold_ID,Recruiter_Count,Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,Scaffold_Center_of_Mass_X,Scaffold_Center_of_Mass_Y,Scaffold_Center_of_Mass_Z,Ligase_Scaffold_Connectivity,Total_Recruiters,Recruiter_Density_Score,Shannon_Diversity_Index,Normalized_Diversity
CHIP,CHIP_SCAF_1,1,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn([C@H]3CCCO3)c2n1,Polycyclic_Hetero,-6.591024022858012e-14,3.141237270298802e-14,-9.60898027813073e-14,1,7,0.1428571428571428,1.945910149055313,1.0
CHIP,CHIP_SCAF_2,1,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,Polycyclic_Hetero,1.2434497875801754e-16,-1.874056465567264e-15,-0.0864745153919555,1,7,0.1428571428571428,1.945910149055313,1.0
CHIP,CHIP_SCAF_3,1,O=c1ncccn1[C@H]1CCCO1,O=c1ncccn1[C@H]1CCCO1,Bicyclic_Hetero,2.1397025565503018e-15,1.6047769174127265e-15,-0.0274599461902651,1,7,0.1428571428571428,1.945910149055313,1.0
CHIP,CHIP_SCAF_4,1,c1ccc(CNc2nc3cncnc3n2[C@H]2CC[C@@H](COCc3ccccc3)O2)cc1,c1ccc(CNc2nc3cncnc3n2[C@H]2CC[C@@H](COCc3ccccc3)O2)cc1,Polycyclic_Hetero,-2.0681868915874344e-14,-1.8683467471549065e-14,0.0769363738248965,1,7,0.1428571428571428,1.945910149055313,1.0
CHIP,CHIP_SCAF_5,1,C(C(=O)O)NC(CO)(CO)CO,,Acyclic,-4.796163466380678e-16,-1.247890679678676e-15,-0.0270668001725031,1,7,0.1428571428571428,1.945910149055313,1.0
CHIP,CHIP_SCAF_6,1,O=C(NCCc1c[nH]cn1)C1CC=CC1,O=C(NCCc1c[nH]cn1)C1CC=CC1,Bicyclic_Hetero,-8.541315802782871e-15,1.4358884451818693e-15,-0.0151157609948707,1,7,0.1428571428571428,1.945910149055313,1.0
CHIP,CHIP_SCAF_7,1,c1ccccc1,c1ccccc1,Monocyclic,6.291263806209222e-16,6.291263806209222e-16,-5.169475958410885e-16,1,7,0.1428571428571428,1.945910149055313,1.0
CRBN,CRBN_SCAF_1,4,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Polycyclic_Hetero,9.279933143763378e-15,1.3674884979176066e-14,0.0734518215037736,1,53,0.0754716981132075,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_10,4,O=C1C[C@H](NC(=O)c2ccccc2)C(=O)N1,O=C1C[C@H](NC(=O)c2ccccc2)C(=O)N1,Bicyclic_Hetero,-9.861564556410066e-11,2.3122496652415128e-10,0.0232915055454014,1,53,0.0754716981132075,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_11,3,O=C1C[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C1C[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Polycyclic_Hetero,-5.978123978750843e-16,-1.955700558762776e-15,0.0156415788100979,1,53,0.0566037735849056,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_12,1,O=C1C[C@H](NC(=O)Cc2ccccc2)C(=O)N1,O=C1C[C@H](NC(=O)Cc2ccccc2)C(=O)N1,Bicyclic_Hetero,3.767101573210876e-15,-0.0600586216813786,-3.292385521302188e-16,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_13,1,O=C1C[C@H](NC(=O)CCc2ccccc2)C(=O)N1,O=C1C[C@H](NC(=O)CCc2ccccc2)C(=O)N1,Bicyclic_Hetero,-7.077671781985373e-15,-4.420075416788905e-15,-0.1604736359480045,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_14,3,O=C1C[C@H](NC(=O)OCc2ccccc2)C(=O)N1,O=C1C[C@H](NC(=O)OCc2ccccc2)C(=O)N1,Bicyclic_Hetero,-1.882938249764265e-14,1.3315274808671043e-14,-0.0904780547977238,1,53,0.0566037735849056,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_15,1,O=C1C[C@H](NC(=O)OC[C@@H]2CCCN2)C(=O)N1,O=C1C[C@H](NC(=O)OC[C@@H]2CCCN2)C(=O)N1,Bicyclic_Hetero,-7.771561172376096e-15,4.191091917959966e-15,-0.1604736359480025,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_16,1,O=C1CC[C@H](NC(=O)OC[C@H]2CCCN2)C(=O)N1,O=C1CC[C@H](NC(=O)OC[C@H]2CCCN2)C(=O)N1,Bicyclic_Hetero,1.5403551450227885e-14,8.881784197001252e-15,-0.0803724776371598,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
