RECRUITER_CODE,Missing_CompositeKey,Missing_SASA_Summary,Missing_SASA_Atoms,Missing_PDB,Any_Failure
L00755,NO,NO,NO,YES,YES
L00753,NO,NO,NO,YES,YES
L00759,NO,NO,NO,YES,YES
L00757,NO,NO,NO,YES,YES
L00756,NO,NO,NO,YES,YES
L00754,NO,NO,NO,YES,YES
L00570,NO,NO,NO,YES,YES
L00187,NO,NO,NO,YES,YES
L00571,NO,NO,NO,YES,YES
L00381,NO,NO,NO,YES,YES
L00574,NO,NO,NO,YES,YES
L00297,NO,NO,NO,YES,YES
L00298,NO,NO,NO,YES,YES
L00294,NO,NO,NO,YES,YES
L00295,NO,NO,NO,YES,YES
L00302,NO,NO,NO,YES,YES
L00299,NO,NO,NO,YES,YES
L00301,NO,NO,NO,YES,YES
L00300,NO,NO,NO,YES,YES
L00305,NO,NO,NO,YES,YES
L00303,NO,NO,NO,YES,YES
L00308,NO,NO,NO,YES,YES
L00462,NO,NO,NO,YES,YES
L00793,NO,YES,YES,NO,YES
L00013,NO,NO,NO,YES,YES
L00663,NO,NO,NO,YES,YES
L00664,NO,NO,NO,YES,YES
L00665,NO,NO,NO,YES,YES
L00666,NO,NO,NO,YES,YES
L00213,NO,NO,NO,YES,YES
L00007,NO,NO,NO,YES,YES
L00256,NO,NO,NO,YES,YES
L00192,NO,NO,NO,YES,YES
L00086,NO,NO,NO,YES,YES
L00048,NO,NO,NO,YES,YES
L00218,NO,NO,NO,YES,YES
L00024,NO,NO,NO,YES,YES
L00436,NO,NO,NO,YES,YES
L00216,NO,NO,NO,YES,YES
L00040,NO,NO,NO,YES,YES
L00718,NO,NO,NO,YES,YES
L00017,NO,NO,NO,YES,YES
L00676,NO,NO,NO,YES,YES
L00677,NO,NO,NO,YES,YES
L00727,NO,NO,NO,YES,YES
L00025,NO,NO,NO,YES,YES
L00697,NO,NO,NO,YES,YES
L00009,NO,NO,NO,YES,YES
L00210,NO,NO,NO,YES,YES
L00400,NO,NO,NO,YES,YES
L00332,NO,NO,NO,YES,YES
L00333,NO,NO,NO,YES,YES
L00208,NO,NO,NO,YES,YES
L00054,NO,NO,NO,YES,YES
L00257,NO,NO,NO,YES,YES
L00552,NO,NO,NO,YES,YES
L00737,NO,NO,NO,YES,YES
L00738,NO,YES,YES,YES,YES
L00695,NO,YES,YES,NO,YES
L00248,NO,NO,NO,YES,YES
L00338,NO,NO,YES,NO,YES
L00480,NO,NO,NO,YES,YES
L00498,NO,NO,NO,YES,YES
L00499,NO,YES,YES,YES,YES
L00328,NO,NO,NO,YES,YES
L00250,NO,NO,NO,YES,YES
L00505,NO,YES,YES,NO,YES
L00321,NO,NO,NO,YES,YES
L00506,NO,NO,NO,YES,YES
L00507,NO,NO,NO,YES,YES
L00508,NO,YES,YES,YES,YES
L00285,NO,NO,NO,YES,YES
L00203,NO,NO,NO,YES,YES
L00343,NO,NO,NO,YES,YES
L00514,NO,NO,NO,YES,YES
L00474,NO,NO,NO,YES,YES
L00487,NO,NO,NO,YES,YES
L00808,NO,YES,YES,YES,YES
L00524,NO,YES,YES,NO,YES
L00417,NO,NO,NO,YES,YES
L00320,NO,NO,NO,YES,YES
L00423,NO,NO,NO,YES,YES
L00309,NO,NO,NO,YES,YES
L00341,NO,NO,NO,YES,YES
L00233,NO,NO,NO,YES,YES
L00037,NO,NO,NO,YES,YES
L00237,NO,NO,NO,YES,YES
L00211,NO,NO,NO,YES,YES
L00350,NO,NO,NO,YES,YES
L00628,NO,NO,NO,YES,YES
L00629,NO,NO,NO,YES,YES
L00630,NO,NO,NO,YES,YES
L00609,NO,NO,NO,YES,YES
L00610,NO,NO,NO,YES,YES
L00612,NO,NO,NO,YES,YES
L00696,NO,NO,NO,YES,YES
L00108,NO,NO,NO,YES,YES
L00096,NO,NO,NO,YES,YES
L00119,NO,NO,NO,YES,YES
