Ligand,smiles_atom_index,smile_atom
A1B,0,B
A1B,1,O
A1B,2,C
A1B,3,C
A1B,4,C
A1B,5,O
A1B,6,C
A1B,7,O
A1B,8,C
A1B,9,O
A1B,10,O
A1B,11,O
A1I,0,C
A1I,1,C
A1I,2,N
A1I,3,C
A1I,4,N
A1I,5,C
A1I,6,C
A1I,7,C
A1I,8,O
A1I,9,O
A1I,10,N
A1I,11,C
A1I,12,O
A1I,13,C
A1I,14,C
A1I,15,C
A1I,16,C
A1I,17,C
EF2,0,C
EF2,1,C
EF2,2,C
EF2,3,C
EF2,4,C
EF2,5,C
EF2,6,C
EF2,7,O
EF2,8,N
EF2,9,C
EF2,10,O
EF2,11,C
EF2,12,C
EF2,13,C
EF2,14,C
EF2,15,O
EF2,16,N
EF2,17,C
EF2,18,O
A1H,0,C
A1H,1,C
A1H,2,N
A1H,3,N
A1H,4,N
A1H,5,C
A1H,6,C
A1H,7,N
A1H,8,N
A1H,9,C
A1H,10,O
A1H,11,C
A1H,12,C
A1H,13,C
A1H,14,N
A1H,15,C
A1H,16,N
A1H,17,N
A1H,18,C
A1H,19,C
A1H,20,O
A1H,21,C
A1H,22,C
A1C,0,C
A1C,1,C
A1C,2,C
A1C,3,N
A1C,4,C
A1C,5,C
A1C,6,C
A1C,7,C
A1C,8,C
A1C,9,C
A1C,10,C
A1C,11,C
A1C,12,C
A1C,13,O
A1C,14,N
A1C,15,S
A1C,16,O
A1C,17,O
A1C,18,C
A1C,19,C
A1C,20,C
A1C,21,C
A1C,22,C
A1C,23,C
A1C,24,C
A1C,25,Cl
A1C,26,C
Y70,0,C
Y70,1,C
Y70,2,C
Y70,3,C
Y70,4,C
Y70,5,C
Y70,6,N
Y70,7,C
Y70,8,O
Y70,9,N
Y70,10,C
Y70,11,O
Y70,12,C
Y70,13,C
Y70,14,C
Y70,15,C
Y70,16,O
Y70,17,N
Y70,18,C
Y70,19,O
A1L,0,H
A1L,1,N
A1L,2,C
A1L,3,N
A1L,4,C
A1L,5,C
A1L,6,C
A1L,7,C
A1L,8,C
A1L,9,O
A1L,10,N
A1L,11,C
A1L,12,C
A1L,13,C
A1L,14,C
A1L,15,C
A1L,16,C
A1L,17,C
A1L,18,C
A1L,19,C
A1L,20,C
A1L,21,C
A1L,22,C
A1L,23,C
A1L,24,C
A1L,25,N
A1L,26,C
A1L,27,O
A1L,28,C
A1L,29,N
A1L,30,N
A1L,31,N
A1L,32,N
A1L,33,C
A1L,34,O
A1L,35,N
A1L,36,C
NUT,0,C
NUT,1,C
NUT,2,C
NUT,3,O
NUT,4,C
NUT,5,C
NUT,6,C
NUT,7,C
NUT,8,C
NUT,9,C
NUT,10,C
NUT,11,N
NUT,12,C
NUT,13,C
NUT,14,N
NUT,15,C
NUT,16,O
NUT,17,N
NUT,18,C
NUT,19,C
NUT,20,N
NUT,21,C
NUT,22,O
NUT,23,C
NUT,24,C
NUT,25,C
NUT,26,C
NUT,27,C
NUT,28,C
NUT,29,C
NUT,30,Cl
NUT,31,C
NUT,32,C
NUT,33,C
NUT,34,C
NUT,35,C
NUT,36,C
NUT,37,Cl
NUT,38,O
NUT,39,C
0EH,0,C
0EH,1,C
0EH,2,C
0EH,3,C
0EH,4,C
0EH,5,C
0EH,6,C
0EH,7,C
0EH,8,C
0EH,9,C
0EH,10,O
0EH,11,O
0EH,12,N
DCP,0,C
DCP,1,C
DCP,2,C
DCP,3,O
DCP,4,C
DCP,5,N
DCP,6,C
DCP,7,C
DCP,8,C
DCP,9,N
DCP,10,C
DCP,11,O
DCP,12,N
DCP,13,C
DCP,14,O
DCP,15,P
DCP,16,O
DCP,17,O
DCP,18,O
DCP,19,P
DCP,20,O
DCP,21,O
DCP,22,O
DCP,23,P
DCP,24,O
DCP,25,O
DCP,26,O
DCP,27,O
LVY,0,C
LVY,1,C
LVY,2,C
LVY,3,C
LVY,4,C
LVY,5,C
LVY,6,N
LVY,7,C
LVY,8,N
LVY,9,C
LVY,10,O
LVY,11,C
LVY,12,C
LVY,13,C
LVY,14,C
LVY,15,O
LVY,16,N
LVY,17,C
LVY,18,O
QFC,0,C
QFC,1,C
QFC,2,C
QFC,3,C
QFC,4,C
QFC,5,C
QFC,6,O
QFC,7,C
QFC,8,C
QFC,9,C
QFC,10,C
QFC,11,C
QFC,12,C
QFC,13,C
QFC,14,C
QFC,15,N
QFC,16,C
QFC,17,C
QFC,18,N
QFC,19,C
QFC,20,C
QFC,21,C
QFC,22,C
QFC,23,C
QFC,24,C
QFC,25,C
QFC,26,C
QFC,27,F
QFC,28,C
QFC,29,N
QFC,30,C
QFC,31,N
QFC,32,C
QFC,33,O
QFC,34,C
QFC,35,C
QFC,36,C
QFC,37,C
QFC,38,O
QFC,39,N
QFC,40,C
QFC,41,O
PHN,0,C
PHN,1,C
PHN,2,C
PHN,3,C
PHN,4,C
PHN,5,C
PHN,6,C
PHN,7,C
PHN,8,C
PHN,9,N
PHN,10,C
PHN,11,C
PHN,12,N
PHN,13,C
6CW,0,C
6CW,1,C
6CW,2,C
6CW,3,C
6CW,4,C
6CW,5,C
6CW,6,Cl
6CW,7,N
6CW,8,C
6CW,9,C
6CW,10,C
6CW,11,C
6CW,12,C
6CW,13,O
6CW,14,O
6CW,15,N
8OG,0,C
8OG,1,C
8OG,2,C
8OG,3,O
8OG,4,C
8OG,5,N
8OG,6,C
8OG,7,C
8OG,8,C
8OG,9,O
8OG,10,N
8OG,11,C
8OG,12,N
8OG,13,N
8OG,14,N
8OG,15,C
8OG,16,O
8OG,17,C
8OG,18,O
8OG,19,P
8OG,20,O
8OG,21,O
8OG,22,O
8OG,23,O
8W7,0,C
8W7,1,C
8W7,2,C
8W7,3,C
8W7,4,C
8W7,5,C
8W7,6,O
8W7,7,C
8W7,8,C
8W7,9,C
8W7,10,C
8W7,11,C
8W7,12,C
8W7,13,C
8W7,14,C
8W7,15,N
8W7,16,C
8W7,17,C
8W7,18,O
8W7,19,C
8W7,20,C
8W7,21,C
8W7,22,N
8W7,23,C
8W7,24,O
8W7,25,C
8W7,26,C
8W7,27,C
8W7,28,C
8W7,29,O
8W7,30,N
8W7,31,C
8W7,32,O
A1E,0,C
A1E,1,C
A1E,2,C
A1E,3,C
A1E,4,C
A1E,5,C
A1E,6,C
A1E,7,C
A1E,8,C
A1E,9,N
A1E,10,C
A1E,11,C
A1E,12,C
A1E,13,C
A1E,14,N
A1E,15,C
A1E,16,C
A1E,17,C
A1E,18,C
A1E,19,C
A1E,20,C
A1E,21,C
A1E,22,C
A1E,23,C
A1E,24,C
A1E,25,N
A1E,26,C
A1E,27,C
A1E,28,C
A1E,29,C
A1E,30,C
A1E,31,C
A1E,32,C
A1E,33,C
A1E,34,C
A1E,35,O
A1E,36,N
DGT,0,C
DGT,1,N
DGT,2,C
DGT,3,C
DGT,4,N
DGT,5,C
DGT,6,C
DGT,7,C
DGT,8,C
DGT,9,O
DGT,10,C
DGT,11,O
DGT,12,P
DGT,13,O
DGT,14,O
DGT,15,O
DGT,16,P
DGT,17,O
DGT,18,O
DGT,19,O
DGT,20,P
DGT,21,O
DGT,22,O
DGT,23,O
DGT,24,O
DGT,25,N
DGT,26,C
DGT,27,N
DGT,28,C
DGT,29,O
DGT,30,N
DTP,0,C
DTP,1,N
DTP,2,C
DTP,3,C
DTP,4,C
DTP,5,N
DTP,6,N
DTP,7,C
DTP,8,N
DTP,9,C
DTP,10,C
DTP,11,C
DTP,12,C
DTP,13,O
DTP,14,C
DTP,15,O
DTP,16,P
DTP,17,O
DTP,18,O
DTP,19,O
DTP,20,P
DTP,21,O
DTP,22,O
DTP,23,O
DTP,24,P
DTP,25,O
DTP,26,O
DTP,27,O
DTP,28,O
DTP,29,N
3DR,0,C
3DR,1,C
3DR,2,O
3DR,3,C
3DR,4,C
3DR,5,O
3DR,6,C
3DR,7,O
3DR,8,P
3DR,9,O
3DR,10,O
3DR,11,O
3JF,0,C
3JF,1,C
3JF,2,C
3JF,3,S
3JF,4,C
3JF,5,N
3JF,6,C
3JF,7,C
3JF,8,C
3JF,9,C
3JF,10,C
3JF,11,C
3JF,12,C
3JF,13,N
3JF,14,C
3JF,15,O
3JF,16,C
3JF,17,C
3JF,18,C
3JF,19,C
3JF,20,N
3JF,21,C
3JF,22,O
3JF,23,C
3JF,24,C
3JF,25,C
3JF,26,C
3JF,27,C
3JF,28,N
3JF,29,C
3JF,30,O
3JF,31,C
3JF,32,O
EF6,0,C
EF6,1,C
EF6,2,C
EF6,3,C
EF6,4,C
EF6,5,N
EF6,6,C
EF6,7,C
EF6,8,C
EF6,9,N
EF6,10,S
EF6,11,O
EF6,12,O
EF6,13,C
EF6,14,C
EF6,15,C
EF6,16,C
EF6,17,C
EF6,18,C
EF6,19,S
EF6,20,O
EF6,21,O
EF6,22,N
EF6,23,Cl
GFD,0,C
GFD,1,O
GFD,2,C
GFD,3,C
GFD,4,C
GFD,5,C
GFD,6,C
GFD,7,C
GFD,8,S
GFD,9,O
GFD,10,O
GFD,11,N
GFD,12,C
GFD,13,C
GFD,14,O
GFD,15,N
GFD,16,C
GFD,17,C
GFD,18,C
GFD,19,C
GFD,20,C
GFD,21,C
GFD,22,C
GFD,23,C
GFD,24,C
GFD,25,C
GFD,26,N
GFD,27,C
GFD,28,C
GFD,29,O
GFD,30,N
GFD,31,S
GFD,32,O
GFD,33,O
GFD,34,C
GFD,35,C
GFD,36,C
GFD,37,C
GFD,38,C
GFD,39,C
GFD,40,N
PGE,0,C
PGE,1,C
PGE,2,O
PGE,3,C
PGE,4,C
PGE,5,O
PGE,6,C
PGE,7,C
PGE,8,O
PGE,9,O
PM3,0,C
PM3,1,C
PM3,2,C
PM3,3,C
PM3,4,C
PM3,5,C
PM3,6,C
PM3,7,C
PM3,8,C
PM3,9,O
PM3,10,O
PM3,11,N
PM3,12,C
PM3,13,P
PM3,14,O
PM3,15,O
PM3,16,O
03M,0,C
03M,1,C
03M,2,C
03M,3,C
03M,4,C
03M,5,C
03M,6,C
03M,7,N
03M,8,C
03M,9,C
03M,10,C
03M,11,C
03M,12,C
03M,13,O
03M,14,N
03M,15,C
03M,16,O
03M,17,N
03M,18,C
03M,19,C
03M,20,C
03M,21,C
03M,22,C
03M,23,C
03M,24,C
03M,25,F
03M,26,F
03M,27,Cl
0KX,0,C
0KX,1,C
0KX,2,C
0KX,3,O
0KX,4,C
0KX,5,N
0KX,6,C
0KX,7,C
0KX,8,C
0KX,9,N
0KX,10,C
0KX,11,O
0KX,12,N
0KX,13,C
0KX,14,O
0KX,15,P
0KX,16,O
0KX,17,N
0KX,18,P
0KX,19,O
0KX,20,O
0KX,21,O
0KX,22,P
0KX,23,O
0KX,24,O
0KX,25,O
0KX,26,O
0KX,27,O
1AQ,0,C
1AQ,1,C
1AQ,2,O
1AQ,3,C
1AQ,4,C
1AQ,5,C
1AQ,6,C
1AQ,7,N
1AQ,8,C
1AQ,9,C
1AQ,10,N
1AQ,11,C
1AQ,12,C
1AQ,13,O
1AQ,14,N
1AQ,15,C
1AQ,16,C
1AQ,17,C
1AQ,18,O
1AQ,19,C
1AQ,20,C
1AQ,21,C
1AQ,22,C
1AQ,23,C
1AQ,24,C
1AQ,25,C
1AQ,26,O
1AQ,27,C
1AQ,28,C
1AQ,29,C
1AQ,30,C
1AQ,31,C
1AQ,32,C
1AQ,33,C
1AQ,34,F
1AQ,35,F
1AQ,36,N
1AQ,37,C
1AQ,38,O
1AQ,39,C
1AQ,40,C
1AQ,41,N
1AQ,42,C
5GP,0,C
5GP,1,N
5GP,2,C
5GP,3,C
5GP,4,N
5GP,5,C
5GP,6,C
5GP,7,C
5GP,8,C
5GP,9,O
5GP,10,C
5GP,11,O
5GP,12,P
5GP,13,O
5GP,14,O
5GP,15,O
5GP,16,O
5GP,17,O
5GP,18,N
5GP,19,C
5GP,20,N
5GP,21,C
5GP,22,O
5GP,23,N
6GG,0,C
6GG,1,C
6GG,2,C
6GG,3,C
6GG,4,C
6GG,5,C
6GG,6,C
6GG,7,N
6GG,8,C
6GG,9,N
6GG,10,C
6GG,11,C
6GG,12,C
6GG,13,C
6GG,14,C
6GG,15,C
6GG,16,C
6GG,17,C
6GG,18,C
6GG,19,N
6GG,20,C
6GG,21,C
6GG,22,O
6GG,23,O
6GG,24,C
6GG,25,C
6GG,26,C
6GG,27,C
6GG,28,C
6GG,29,C
6GG,30,N
6GG,31,C
6GG,32,O
6GG,33,C
6GG,34,C
6GG,35,C
6GG,36,O
6GG,37,O
6GG,38,Cl
6GG,39,C
6GG,40,C
6GG,41,C
6GG,42,C
6GG,43,C
6GG,44,C
6GG,45,F
6GG,46,Cl
7H9,0,C
7H9,1,C
7H9,2,C
7H9,3,N
7H9,4,C
7H9,5,C
7H9,6,N
7H9,7,C
7H9,8,N
7H9,9,C
7H9,10,C
7H9,11,O
7H9,12,C
7H9,13,C
7H9,14,C
7H9,15,C
7H9,16,C
7H9,17,O
7H9,18,N
7H9,19,C
7H9,20,C
7H9,21,C
7H9,22,C
7H9,23,C
7H9,24,C
7H9,25,C
7H9,26,N
7H9,27,C
7H9,28,C
7H9,29,C
7H9,30,C
7H9,31,C
7H9,32,C
7H9,33,C
7H9,34,F
7H9,35,C
7H9,36,C
85C,0,C
85C,1,C
85C,2,C
85C,3,C
85C,4,C
85C,5,C
85C,6,C
85C,7,Cl
85C,8,N
85C,9,C
85C,10,O
85C,11,N
85C,12,C
85C,13,C
85C,14,C
85C,15,C
85C,16,C
85C,17,C
85C,18,C
85C,19,C
85C,20,N
85C,21,C
85C,22,O
85C,23,C
85C,24,C
