RECRUITER_CODE,smiles_atom_index,smile_atom
L00001,0,B
L00001,1,O
L00001,2,C
L00001,3,C
L00001,4,C
L00001,5,O
L00001,6,C
L00001,7,O
L00001,8,C
L00001,9,O
L00001,10,O
L00001,11,O
L00002,0,C
L00002,1,C
L00002,2,N
L00002,3,C
L00002,4,N
L00002,5,C
L00002,6,C
L00002,7,C
L00002,8,O
L00002,9,O
L00002,10,N
L00002,11,C
L00002,12,O
L00002,13,C
L00002,14,C
L00002,15,C
L00002,16,C
L00002,17,C
L00003,0,C
L00003,1,C
L00003,2,C
L00003,3,C
L00003,4,C
L00003,5,C
L00003,6,C
L00003,7,O
L00003,8,N
L00003,9,C
L00003,10,O
L00003,11,C
L00003,12,C
L00003,13,C
L00003,14,C
L00003,15,O
L00003,16,N
L00003,17,C
L00003,18,O
L00004,0,C
L00004,1,C
L00004,2,N
L00004,3,N
L00004,4,N
L00004,5,C
L00004,6,C
L00004,7,N
L00004,8,N
L00004,9,C
L00004,10,O
L00004,11,C
L00004,12,C
L00004,13,C
L00004,14,N
L00004,15,C
L00004,16,N
L00004,17,N
L00004,18,C
L00004,19,C
L00004,20,O
L00004,21,C
L00004,22,C
L00005,0,C
L00005,1,C
L00005,2,C
L00005,3,N
L00005,4,C
L00005,5,C
L00005,6,C
L00005,7,C
L00005,8,C
L00005,9,C
L00005,10,C
L00005,11,C
L00005,12,C
L00005,13,O
L00005,14,N
L00005,15,S
L00005,16,O
L00005,17,O
L00005,18,C
L00005,19,C
L00005,20,C
L00005,21,C
L00005,22,C
L00005,23,C
L00005,24,C
L00005,25,Cl
L00005,26,C
L00006,0,C
L00006,1,C
L00006,2,C
L00006,3,C
L00006,4,C
L00006,5,C
L00006,6,N
L00006,7,C
L00006,8,O
L00006,9,N
L00006,10,C
L00006,11,O
L00006,12,C
L00006,13,C
L00006,14,C
L00006,15,C
L00006,16,O
L00006,17,N
L00006,18,C
L00006,19,O
L00007,0,H
L00007,1,N
L00007,2,C
L00007,3,N
L00007,4,C
L00007,5,C
L00007,6,C
L00007,7,C
L00007,8,C
L00007,9,O
L00007,10,N
L00007,11,C
L00007,12,C
L00007,13,C
L00007,14,C
L00007,15,C
L00007,16,C
L00007,17,C
L00007,18,C
L00007,19,C
L00007,20,C
L00007,21,C
L00007,22,C
L00007,23,C
L00007,24,C
L00007,25,N
L00007,26,C
L00007,27,O
L00007,28,C
L00007,29,N
L00007,30,N
L00007,31,N
L00007,32,N
L00007,33,C
L00007,34,O
L00007,35,N
L00007,36,C
L00008,0,C
L00008,1,C
L00008,2,C
L00008,3,O
L00008,4,C
L00008,5,C
L00008,6,C
L00008,7,C
L00008,8,C
L00008,9,C
L00008,10,C
L00008,11,N
L00008,12,C
L00008,13,C
L00008,14,N
L00008,15,C
L00008,16,O
L00008,17,N
L00008,18,C
L00008,19,C
L00008,20,N
L00008,21,C
L00008,22,O
L00008,23,C
L00008,24,C
L00008,25,C
L00008,26,C
L00008,27,C
L00008,28,C
L00008,29,C
L00008,30,Cl
L00008,31,C
L00008,32,C
L00008,33,C
L00008,34,C
L00008,35,C
L00008,36,C
L00008,37,Cl
L00008,38,O
L00008,39,C
L00009,0,C
L00009,1,C
L00009,2,C
L00009,3,C
L00009,4,C
L00009,5,C
L00009,6,C
L00009,7,C
L00009,8,C
L00009,9,C
L00009,10,O
L00009,11,O
L00009,12,N
L00010,0,C
L00010,1,C
L00010,2,C
L00010,3,O
L00010,4,C
L00010,5,N
L00010,6,C
L00010,7,C
L00010,8,C
L00010,9,N
L00010,10,C
L00010,11,O
L00010,12,N
L00010,13,C
L00010,14,O
L00010,15,P
L00010,16,O
L00010,17,O
L00010,18,O
L00010,19,P
L00010,20,O
L00010,21,O
L00010,22,O
L00010,23,P
L00010,24,O
L00010,25,O
L00010,26,O
L00010,27,O
L00011,0,C
L00011,1,C
L00011,2,C
L00011,3,C
L00011,4,C
L00011,5,C
L00011,6,N
L00011,7,C
L00011,8,N
L00011,9,C
L00011,10,O
L00011,11,C
L00011,12,C
L00011,13,C
L00011,14,C
L00011,15,O
L00011,16,N
L00011,17,C
L00011,18,O
L00012,0,C
L00012,1,C
L00012,2,C
L00012,3,C
L00012,4,C
L00012,5,C
L00012,6,O
L00012,7,C
L00012,8,C
L00012,9,C
L00012,10,C
L00012,11,C
L00012,12,C
L00012,13,C
L00012,14,C
L00012,15,N
L00012,16,C
L00012,17,C
L00012,18,N
L00012,19,C
L00012,20,C
L00012,21,C
L00012,22,C
L00012,23,C
L00012,24,C
L00012,25,C
L00012,26,C
L00012,27,F
L00012,28,C
L00012,29,N
L00012,30,C
L00012,31,N
L00012,32,C
L00012,33,O
L00012,34,C
L00012,35,C
L00012,36,C
L00012,37,C
L00012,38,O
L00012,39,N
L00012,40,C
L00012,41,O
L00013,0,C
L00013,1,C
L00013,2,C
L00013,3,C
L00013,4,C
L00013,5,C
L00013,6,C
L00013,7,C
L00013,8,C
L00013,9,N
L00013,10,C
L00013,11,C
L00013,12,N
L00013,13,C
L00014,0,C
L00014,1,C
L00014,2,C
L00014,3,C
L00014,4,C
L00014,5,C
L00014,6,Cl
L00014,7,N
L00014,8,C
L00014,9,C
L00014,10,C
L00014,11,C
L00014,12,C
L00014,13,O
L00014,14,O
L00014,15,N
L00015,0,C
L00015,1,C
L00015,2,C
L00015,3,O
L00015,4,C
L00015,5,N
L00015,6,C
L00015,7,C
L00015,8,C
L00015,9,O
L00015,10,N
L00015,11,C
L00015,12,N
L00015,13,N
L00015,14,N
L00015,15,C
L00015,16,O
