Ligase,Scaffold_ID,Recruiter_Count,Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,Scaffold_Center_of_Mass_X,Scaffold_Center_of_Mass_Y,Scaffold_Center_of_Mass_Z,Ligase_Scaffold_Connectivity,Total_Recruiters,Recruiter_Density_Score,Shannon_Diversity_Index,Normalized_Diversity
CHIP,CHIP_SCAF_1,1,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn([C@H]3CCCO3)c2n1,Polycyclic_Hetero,-6.591024022858012e-14,3.141237270298802e-14,-9.60898027813073e-14,1,7,0.14285714285714285,1.945910149055313,0.9999999999999999
CHIP,CHIP_SCAF_2,1,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,Polycyclic_Hetero,1.2434497875801754e-16,-1.874056465567264e-15,-0.08647451539195554,1,7,0.14285714285714285,1.945910149055313,0.9999999999999999
CHIP,CHIP_SCAF_3,1,O=c1ncccn1[C@H]1CCCO1,O=c1ncccn1[C@H]1CCCO1,Bicyclic_Hetero,2.1397025565503018e-15,1.6047769174127263e-15,-0.02745994619026517,1,7,0.14285714285714285,1.945910149055313,0.9999999999999999
CHIP,CHIP_SCAF_4,1,c1ccc(CNc2nc3cncnc3n2[C@H]2CC[C@@H](COCc3ccccc3)O2)cc1,c1ccc(CNc2nc3cncnc3n2[C@H]2CC[C@@H](COCc3ccccc3)O2)cc1,Polycyclic_Hetero,-2.0681868915874344e-14,-1.8683467471549062e-14,0.07693637382489656,1,7,0.14285714285714285,1.945910149055313,0.9999999999999999
CHIP,CHIP_SCAF_5,1,C(C(=O)O)NC(CO)(CO)CO,,Acyclic,-4.796163466380677e-16,-1.247890679678676e-15,-0.027066800172503163,1,7,0.14285714285714285,1.945910149055313,0.9999999999999999
CHIP,CHIP_SCAF_6,1,O=C(NCCc1c[nH]cn1)C1CC=CC1,O=C(NCCc1c[nH]cn1)C1CC=CC1,Bicyclic_Hetero,-8.541315802782871e-15,1.4358884451818692e-15,-0.015115760994870771,1,7,0.14285714285714285,1.945910149055313,0.9999999999999999
CHIP,CHIP_SCAF_7,1,c1ccccc1,c1ccccc1,Monocyclic,6.291263806209221e-16,6.291263806209221e-16,-5.169475958410885e-16,1,7,0.14285714285714285,1.945910149055313,0.9999999999999999
CRBN,CRBN_SCAF_1,4,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Polycyclic_Hetero,9.279933143763378e-15,1.3674884979176066e-14,0.07345182150377368,1,53,0.07547169811320754,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_10,4,O=C1C[C@H](NC(=O)c2ccccc2)C(=O)N1,O=C1C[C@H](NC(=O)c2ccccc2)C(=O)N1,Bicyclic_Hetero,-9.861564556410066e-11,2.3122496652415128e-10,0.023291505545401416,1,53,0.07547169811320754,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_11,3,O=C1C[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C1C[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Polycyclic_Hetero,-5.978123978750843e-16,-1.955700558762776e-15,0.01564157881009793,1,53,0.05660377358490566,3.3227907634689804,0.927242417449185
