Ligase,Scaffold_ID,Recruiter_Count
CHIP,CHIP_SCAF_1,1
CHIP,CHIP_SCAF_2,1
CHIP,CHIP_SCAF_3,1
CHIP,CHIP_SCAF_4,1
CHIP,CHIP_SCAF_5,1
CHIP,CHIP_SCAF_6,1
CHIP,CHIP_SCAF_7,1
CRBN,CRBN_SCAF_1,4
CRBN,CRBN_SCAF_10,4
CRBN,CRBN_SCAF_11,3
CRBN,CRBN_SCAF_12,1
CRBN,CRBN_SCAF_13,1
CRBN,CRBN_SCAF_14,3
CRBN,CRBN_SCAF_15,1
CRBN,CRBN_SCAF_16,1
CRBN,CRBN_SCAF_17,1
CRBN,CRBN_SCAF_18,1
CRBN,CRBN_SCAF_19,1
CRBN,CRBN_SCAF_2,1
CRBN,CRBN_SCAF_20,1
CRBN,CRBN_SCAF_21,1
CRBN,CRBN_SCAF_22,1
CRBN,CRBN_SCAF_23,1
CRBN,CRBN_SCAF_24,1
CRBN,CRBN_SCAF_25,1
CRBN,CRBN_SCAF_26,1
CRBN,CRBN_SCAF_27,1
CRBN,CRBN_SCAF_28,1
CRBN,CRBN_SCAF_29,1
CRBN,CRBN_SCAF_3,1
CRBN,CRBN_SCAF_30,1
CRBN,CRBN_SCAF_31,1
CRBN,CRBN_SCAF_32,1
CRBN,CRBN_SCAF_33,1
CRBN,CRBN_SCAF_34,1
CRBN,CRBN_SCAF_35,1
CRBN,CRBN_SCAF_36,1
CRBN,CRBN_SCAF_4,1
CRBN,CRBN_SCAF_5,1
CRBN,CRBN_SCAF_6,1
CRBN,CRBN_SCAF_7,1
CRBN,CRBN_SCAF_8,1
CRBN,CRBN_SCAF_9,8
DCAF1,DCAF1_SCAF_1,1
DCAF1,DCAF1_SCAF_10,1
DCAF1,DCAF1_SCAF_11,1
DCAF1,DCAF1_SCAF_2,2
DCAF1,DCAF1_SCAF_3,1
DCAF1,DCAF1_SCAF_4,1
DCAF1,DCAF1_SCAF_5,1
DCAF1,DCAF1_SCAF_6,1
DCAF1,DCAF1_SCAF_7,1
DCAF1,DCAF1_SCAF_8,1
DCAF1,DCAF1_SCAF_9,1
DCAF15,DCAF15_SCAF_1,3
DCAF15,DCAF15_SCAF_2,1
DCAF15,DCAF15_SCAF_3,1
DCAF16,DCAF16_SCAF_1,1
HUWE1,HUWE1_SCAF_1,3
HUWE1,HUWE1_SCAF_10,1
HUWE1,HUWE1_SCAF_11,1
HUWE1,HUWE1_SCAF_12,1
HUWE1,HUWE1_SCAF_13,1
HUWE1,HUWE1_SCAF_14,1
HUWE1,HUWE1_SCAF_15,1
HUWE1,HUWE1_SCAF_16,1
HUWE1,HUWE1_SCAF_17,1
HUWE1,HUWE1_SCAF_18,1
HUWE1,HUWE1_SCAF_19,1
HUWE1,HUWE1_SCAF_2,1
HUWE1,HUWE1_SCAF_20,1
HUWE1,HUWE1_SCAF_21,2
HUWE1,HUWE1_SCAF_22,1
HUWE1,HUWE1_SCAF_23,1
HUWE1,HUWE1_SCAF_24,1
HUWE1,HUWE1_SCAF_3,1
HUWE1,HUWE1_SCAF_4,1
HUWE1,HUWE1_SCAF_5,4
HUWE1,HUWE1_SCAF_6,1
HUWE1,HUWE1_SCAF_7,1
HUWE1,HUWE1_SCAF_8,1
HUWE1,HUWE1_SCAF_9,1
KEAP1,KEAP1_SCAF_1,1
KEAP1,KEAP1_SCAF_10,1
KEAP1,KEAP1_SCAF_11,4
KEAP1,KEAP1_SCAF_12,4
KEAP1,KEAP1_SCAF_13,2
KEAP1,KEAP1_SCAF_14,2
KEAP1,KEAP1_SCAF_15,1
KEAP1,KEAP1_SCAF_16,1
KEAP1,KEAP1_SCAF_17,1
KEAP1,KEAP1_SCAF_18,1
KEAP1,KEAP1_SCAF_19,1
KEAP1,KEAP1_SCAF_2,1
KEAP1,KEAP1_SCAF_20,1
KEAP1,KEAP1_SCAF_21,1
KEAP1,KEAP1_SCAF_22,1
KEAP1,KEAP1_SCAF_23,1
KEAP1,KEAP1_SCAF_24,2
KEAP1,KEAP1_SCAF_25,1
KEAP1,KEAP1_SCAF_26,1
KEAP1,KEAP1_SCAF_27,2
KEAP1,KEAP1_SCAF_28,1
KEAP1,KEAP1_SCAF_29,7
KEAP1,KEAP1_SCAF_3,3
KEAP1,KEAP1_SCAF_30,2
KEAP1,KEAP1_SCAF_31,1
KEAP1,KEAP1_SCAF_32,2
KEAP1,KEAP1_SCAF_33,1
KEAP1,KEAP1_SCAF_34,1
KEAP1,KEAP1_SCAF_35,1
KEAP1,KEAP1_SCAF_36,1
KEAP1,KEAP1_SCAF_37,3
KEAP1,KEAP1_SCAF_38,1
KEAP1,KEAP1_SCAF_39,1
KEAP1,KEAP1_SCAF_4,1
KEAP1,KEAP1_SCAF_40,2
KEAP1,KEAP1_SCAF_41,1
KEAP1,KEAP1_SCAF_42,1
KEAP1,KEAP1_SCAF_43,1
KEAP1,KEAP1_SCAF_44,1
KEAP1,KEAP1_SCAF_45,1
KEAP1,KEAP1_SCAF_46,1
KEAP1,KEAP1_SCAF_47,2
KEAP1,KEAP1_SCAF_48,1
KEAP1,KEAP1_SCAF_49,3
KEAP1,KEAP1_SCAF_5,5
KEAP1,KEAP1_SCAF_50,1
KEAP1,KEAP1_SCAF_51,1
KEAP1,KEAP1_SCAF_52,1
KEAP1,KEAP1_SCAF_53,1
KEAP1,KEAP1_SCAF_54,1
KEAP1,KEAP1_SCAF_55,1
KEAP1,KEAP1_SCAF_56,1
KEAP1,KEAP1_SCAF_6,1
KEAP1,KEAP1_SCAF_7,2
KEAP1,KEAP1_SCAF_8,1
KEAP1,KEAP1_SCAF_9,1
MDM2,MDM2_SCAF_1,1
MDM2,MDM2_SCAF_10,1
MDM2,MDM2_SCAF_11,3
MDM2,MDM2_SCAF_12,1
MDM2,MDM2_SCAF_13,1
MDM2,MDM2_SCAF_14,1
MDM2,MDM2_SCAF_15,1
MDM2,MDM2_SCAF_16,1
MDM2,MDM2_SCAF_17,4
MDM2,MDM2_SCAF_18,2
MDM2,MDM2_SCAF_19,1
MDM2,MDM2_SCAF_2,1
MDM2,MDM2_SCAF_20,1
MDM2,MDM2_SCAF_21,1
MDM2,MDM2_SCAF_22,2
MDM2,MDM2_SCAF_23,3
MDM2,MDM2_SCAF_24,1
MDM2,MDM2_SCAF_25,1
MDM2,MDM2_SCAF_26,1
MDM2,MDM2_SCAF_27,1
MDM2,MDM2_SCAF_28,1
MDM2,MDM2_SCAF_29,1
MDM2,MDM2_SCAF_3,2
MDM2,MDM2_SCAF_30,1
MDM2,MDM2_SCAF_31,1
MDM2,MDM2_SCAF_32,2
MDM2,MDM2_SCAF_33,1
MDM2,MDM2_SCAF_34,2
MDM2,MDM2_SCAF_35,1
MDM2,MDM2_SCAF_36,1
MDM2,MDM2_SCAF_37,1
MDM2,MDM2_SCAF_38,1
MDM2,MDM2_SCAF_39,1
MDM2,MDM2_SCAF_4,1
MDM2,MDM2_SCAF_40,1
MDM2,MDM2_SCAF_41,1
MDM2,MDM2_SCAF_42,1
MDM2,MDM2_SCAF_43,1
MDM2,MDM2_SCAF_44,1
MDM2,MDM2_SCAF_45,2
MDM2,MDM2_SCAF_46,1
MDM2,MDM2_SCAF_47,1
MDM2,MDM2_SCAF_48,1
MDM2,MDM2_SCAF_49,1
MDM2,MDM2_SCAF_5,3
MDM2,MDM2_SCAF_50,1
MDM2,MDM2_SCAF_51,1
MDM2,MDM2_SCAF_52,1
MDM2,MDM2_SCAF_53,1
MDM2,MDM2_SCAF_54,1
MDM2,MDM2_SCAF_55,1
