SMILES,RECRUITER_CODE
B(CNS(=O)(=O)Cc1cccc(c1)C(=O)O)(O)OP(=O)(O)O,L00034
C(=O)[Fe](C#N)(C#N)[Ni],L00338
C(C(=O)O)NC(CO)(CO)CO,L00444
C(CCNC(=N)N)C[C@@H](C(=O)O)N,L00257
C(CCNCS)C[C@@H](C(=O)O)N,L00033
C(COCCOCCO)O,L00024
C(COCCOCCOCCOCCOCCO)O,L00350
C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,L00096
C([C@@H](C(=O)O)N)SCC(=O)O,L00208
C([C@@H](C(=O)O)N)SS(=O)(=O)O,L00211
C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O,L00244
C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,L00248
C/C=C/[C@H](C(=O)O)N1[C@@H]([C@@H](O[C@H](C1=O)Cc2ccc(cc2)F)c3ccc(cc3)Cl)c4ccc(cc4)Cl,L00076
C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,L00207
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)(O)OP(=O)(O)O)O)O,L00422
C1=C[N](=CN1)[Re+](C#O)(C#O)(C#O)[OH2],L00049
C1=C[N]2=C3C(=C1)C=CC4=CC=C[N](=C43)[Re]2(C#O)(C#O)C#O,L00050
C1CC(=O)N(C1=O)CC(=O)N,L00432
C1CC(=O)NC(=O)[C@H]1NC(=O)OCC2CCC(CC2)N,L00308
C1CCN(CC1)C(=O)CN2CC[NH2+]CC2,L00134
C1COCCN1CCCS(=O)(=O)O,L00046
C1CO[C@@H]([C@H]1O)COP(=O)(O)O,L00020
C1C[C@@H](NC1)COC(=O)N[C@H]2CCC(=O)NC2=O,L00305
C1C[C@@H]2CN(C[C@@H]2C1)C(=O)COC(F)F,L00325
C1C[C@H](N(C1)C(=O)[C@H](CC(=O)O)N)C(=O)O,L00223
C1C[C@H](NC1)COC(=O)N[C@H]2CC(=O)NC2=O,L00300
C1C[NH+]=C(N1)NNC(=O)CCCl,L00242
C1[C@@H]([C@H](CSS1)O)O,L00218
C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)O)O,L00015
C1[C@@H]([C@H](O[C@H]1N2C=C(C(=NC2=O)N)C(=O)O)COP(=O)(O)O)O,L00069
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(NP(=O)(O)OP(=O)(O)O)O)O,L00027
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O,L00010
C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O,L00219
C1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O,L00480
C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=N)N2,L00270
C=CCc1cc(ccc1F)CNC(=O)[C@H](Cc2ccc(cc2)OP(=O)(O)O)NC(=O)Cc3ccc(cc3)F,L00041
CC(=CC(=O)N[C@H]1CC(=O)NC1=O)C,L00307
CC(=O)N1CCCC2(C1)CCCCCC2,L00470
CC(=O)N1CCC[C@@H](C1)[C@]2(c3ccc(cc3NC2=O)Cl)Cc4cccc(c4)Cl,L00089
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]2COC(=O)c3cccc(c3CSC[C@@H](NC2=O)C(=O)N(C)C)c4ccc(cc4)C(=O)O,L00185
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]2COC(=O)c3cccc(c3CSC[C@@H](NC2=O)C(=O)N(C)C)c4cccc(c4)C(=O)O,L00183
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]2COC(=O)c3cccc(c3CSC[C@@H](NC2=O)C(=O)N(C)C)c4cccc5c4non5,L00171
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]2COC(=O)c3ccccc3CSC[C@@H](NC2=O)C(=O)N(C)C,L00360
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]2COC(=O)c3ccccc3C[S@](=O)C[C@@H](NC2=O)C(=O)N(C)C,L00172
CC(=O)N1CCN(CC1)c2ccc(cc2)Cl,L00472
CC(=O)N1CCN(CC1)c2ccc3c(c2)nc(nc3NCCN)C4(CCCC4)c5ccc(cc5)Cl,L00449
CC(=O)N1C[C@@H](C[C@H]1C(=O)NC)O,L00431
CC(=O)N1C[C@@H](C[C@H]1C(=O)NCc2ccc(cc2)c3cnco3)O,L00476
CC(=O)N1Cc2ccc(cc2C1)N,L00474
CC(=O)N[C@@H]1Cc2ccccc2NC1,L00390
CC(=O)Nc1ccc(cc1)CN2CCOCC2,L00382
CC(=O)Nc1ccc(cc1)[C@H]2CC=NO2,L00214
CC(=O)Nc1ccc2cn[nH]c2c1,L00320
CC(=O)c1ccc2c(c1)N(c3ccccc3S2)CCCN(C)C,L00354
CC(C)(C)CC(=O)N1C[C@@H](C[C@H]1C(=O)NCc2ccc(cc2)c3cnco3)O,L00110
CC(C)(C)CC(=O)N1C[C@@H](C[C@H]1C(=O)NCc2ccc(cc2)c3cncs3)O,L00116
CC(C)(C)CN1C[C@H]([C@@H]([C@@]12c3ccc(cc3NC2=O)Cl)c4cccc(c4)Cl)N,L00156
CC(C)(C)C[C@@H]1[C@]2(c3ccc(cc3NC2=O)Cl)[C@@H]([C@@H](N1)C(=O)NCCN4CCOCC4)c5cccc(c5F)Cl,L00334
CC(C)(C)C[C@H]1[C@]([C@H]([C@@H](N1)C(=O)NCC[C@@H](CO)O)c2cccc(c2)Cl)(C#N)c3ccc(cc3)Cl,L00265
CC(C)(C)C[C@H]1[C@]([C@H]([C@@H](N1)C(=O)NCC[C@@H](CO)O)c2cccc(c2F)Cl)(C#N)c3ccc(cc3F)Cl,L00079
CC(C)(C)C[C@H]1[C@]2(c3c(cc(s3)Cl)NC2=O)[C@H]([C@@H](N1)C(=O)Nc4ccc(cc4OC)C(=O)N)c5cccc(c5F)Cl,L00091
CC(C)(C)C[C@H]1[C@]2(c3ccc(cc3NC2=O)Cl)[C@H]([C@@H](N1)C(=O)NC4CCC(CC4)O)c5cccc(c5F)Cl,L00163
