pdb,ligand,mw,decision,reason
1DV0,,,skip,no_ligands
1F4I,,,skip,no_ligands
1IFY,,,skip,no_ligands
3WA0,,,skip,no_ligands
4CC9,,,skip,no_ligands
4D10,,,skip,no_ligands
4D18,,,skip,no_ligands
4P7I,,,skip,no_ligands
4PXW,UNX,0,skip,too_small
4R14,,,skip,no_ligands
4U1S,,,skip,no_ligands
4WSN,,,skip,no_ligands
4Z8L,,,skip,no_ligands
5AJA,,,skip,no_ligands
5B56,,,skip,no_ligands
5JK7,,,skip,no_ligands
6N45,,,skip,no_ligands
6R6H,,,skip,no_ligands
6R7F,,,skip,no_ligands
6R7H,,,skip,no_ligands
6R7I,,,skip,no_ligands
6XQI,,,skip,no_ligands
6XQJ,,,skip,low_identity
6ZUE,,,skip,no_ligands
6ZX9,,,skip,no_ligands
7NVG,,,skip,no_ligands
7OKQ,,,skip,no_ligands
7P3M,,,skip,no_ligands
7P3O,,,skip,no_ligands
7P3P,,,skip,no_ligands
7SSE,B1I,357.425,keep,keep
7UFV,N6O,386.807,keep,keep
7UFV,UNX,0,skip,too_small
7V7B,,,skip,no_ligands
7V7C,,,skip,no_ligands
8F8E,XJI,439.243,keep,keep
8H38,,,skip,no_ligands
8H3A,,,skip,no_ligands
8H3F,,,skip,no_ligands
8OG5,LQH,264.297,keep,keep
8OG6,LQH,264.297,keep,keep
8OG7,VMR,286.756,keep,keep
8OG8,VM8,300.397,keep,keep
8OG9,VM3,318.8,keep,keep
8OGA,VLW,414.543,keep,keep
8OGB,VN5,432.561,keep,keep
8OGC,VMZ,493.044,keep,keep
8OO5,VUF,507.07,keep,keep
8OOD,VY3,828.437,skip,too_large
9A40,,,skip,no_ligands
9B9H,A1A,588.694,keep,keep
9B9T,A1A,588.694,keep,keep
9B9W,A1A,588.694,keep,keep
9BA2,IMD,69.085,skip,too_small
9BHR,A1A,588.694,keep,keep
9BHS,A1A,588.694,keep,keep
9BHS,UNL,0,skip,too_small
9C1Q,A1A,588.694,keep,keep
9C1Q,UNX,0,skip,too_small
9D4E,A1A,588.694,keep,keep
9DLW,A1B,176.94,keep,keep
9PLY,A1C,406.926,keep,keep
9PLY,UNX,0,skip,too_small
9Y76,A1C,406.926,keep,keep
9Y76,UNX,0,skip,too_small
