pdb,ligand,mw,decision,reason
2C9W,,,skip,no_ligands
4JGH,,,skip,no_ligands
5BO4,CAS,225.141,keep,keep
6I4X,CAS,225.141,keep,keep
6I5J,CAS,225.141,keep,keep
6I5J,VLM,116.162,skip,too_small
6I5N,CAS,225.141,keep,keep
6I5N,VLM,116.162,skip,too_small
7M6T,CAS,225.141,keep,keep
7ZLM,JIH,577.926,keep,keep
7ZLN,JI9,518.446,keep,keep
7ZLO,JI0,532.473,keep,keep
7ZLP,JHR,504.42,keep,keep
7ZLR,JH9,544.484,keep,keep
7ZLS,JH9,544.484,keep,keep
8OKX,,,skip,no_ligands
8OL1,,,skip,no_ligands
8Y1U,,,skip,no_ligands
9A1I,,,error,'_atom_site.id'
9A1J,,,error,'_atom_site.id'
9OMA,,,skip,no_ligands
9OMF,,,skip,no_ligands
