Sample,Sample_SRR,Tissgrp
0,SRR1068855,Muscle_Skeletal
1,SRR1068953,Stomach
2,SRR1069024,Whole_Blood
3,SRR1069166,Stomach
4,SRR1069279,Thyroid
5,SRR1069352,Pancreas
6,SRR1069690,Heart_Atrial_Appendage
7,SRR1069714,Stomach
8,SRR1069778,Stomach
9,SRR1069802,Heart_Left_Ventricle
10,SRR1069850,Colon_Transverse
11,SRR1069943,Colon_Sigmoid
12,SRR1069991,Colon_Transverse
13,SRR1070015,Lung
14,SRR1070358,Lung
15,SRR1070382,Stomach
16,SRR1070403,Pancreas
17,SRR1070549,Stomach
18,SRR1070764,Pancreas
19,SRR1070813,Whole_Blood
20,SRR1070863,Thyroid
21,SRR1070884,Stomach
22,SRR1070960,Thyroid
23,SRR1071231,Muscle_Skeletal
24,SRR1071519,Pancreas
25,SRR1071594,Muscle_Skeletal
26,SRR1071692,Heart_Left_Ventricle
27,SRR1071761,Stomach
28,SRR1071931,Whole_Blood
29,SRR1071955,Muscle_Skeletal
30,SRR1072007,Pancreas
31,SRR1072104,Pancreas
32,SRR1072150,Lung
33,SRR1072199,Stomach
34,SRR1072345,Whole_Blood
35,SRR1072529,Whole_Blood
36,SRR1072578,Colon_Transverse
37,SRR1072821,Stomach
38,SRR1072871,Whole_Blood
39,SRR1072920,Stomach
40,SRR1072972,Pancreas
41,SRR1073021,Pancreas
42,SRR1073119,Lung
43,SRR1073167,Pancreas
44,SRR1073217,Colon_Transverse
45,SRR1073267,Thyroid
46,SRR1073341,Thyroid
47,SRR1073459,Stomach
48,SRR1073655,Colon_Transverse
49,SRR1073679,Whole_Blood
50,SRR1073971,Colon_Transverse
51,SRR1073991,Pancreas
52,SRR1074066,Stomach
53,SRR1074090,Pancreas
54,SRR1074189,Thyroid
55,SRR1074239,Colon_Transverse
56,SRR1074314,Colon_Transverse
57,SRR1074337,Colon_Sigmoid
58,SRR1074359,Muscle_Skeletal
59,SRR1074385,Pancreas
60,SRR1074646,Whole_Blood
61,SRR1074670,Muscle_Skeletal
62,SRR1074694,Thyroid
63,SRR1074719,Muscle_Skeletal
64,SRR1074769,Lung
65,SRR1075078,Colon_Transverse
66,SRR1075174,Pancreas
67,SRR1075336,Pancreas
68,SRR1075631,Heart_Atrial_Appendage
69,SRR1075729,Colon_Transverse
70,SRR1075874,Stomach
71,SRR1075997,Heart_Atrial_Appendage
72,SRR1076244,Pancreas
73,SRR1076268,Stomach
74,SRR1076417,Stomach
75,SRR1076511,Whole_Blood
76,SRR1076753,Thyroid
77,SRR1076779,Heart_Left_Ventricle
78,SRR1076847,Whole_Blood
79,SRR1076868,Pancreas
80,SRR1076940,Colon_Transverse
81,SRR1076990,Stomach
82,SRR1077066,Colon_Transverse
83,SRR1077115,Heart_Atrial_Appendage
84,SRR1077288,Muscle_Skeletal
85,SRR1077380,Colon_Sigmoid
86,SRR1077503,Whole_Blood
87,SRR1077528,Heart_Atrial_Appendage
88,SRR1077643,Heart_Left_Ventricle
89,SRR1077667,Colon_Transverse
90,SRR1077805,Muscle_Skeletal
91,SRR1078066,Pancreas
92,SRR1078090,Stomach
93,SRR1078278,Colon_Transverse
94,SRR1078759,Stomach
95,SRR1078948,Colon_Transverse
96,SRR1079259,Whole_Blood
97,SRR1079567,Colon_Transverse
98,SRR1079660,Whole_Blood
99,SRR1079754,Pancreas
100,SRR1079900,Stomach
101,SRR1080222,Colon_Transverse
102,SRR1080415,Heart_Left_Ventricle
103,SRR1080438,Heart_Atrial_Appendage
104,SRR1080624,Pancreas
105,SRR1080672,Stomach
106,SRR1080766,Muscle_Skeletal
107,SRR1080951,Colon_Transverse
108,SRR1080977,Heart_Left_Ventricle
109,SRR1080998,Whole_Blood
110,SRR1081068,Colon_Sigmoid
111,SRR1081092,Stomach
112,SRR1081116,Colon_Transverse
113,SRR1081235,Stomach
114,SRR1081283,Lung
115,SRR1081332,Colon_Transverse
116,SRR1081493,Colon_Transverse
117,SRR1081712,Whole_Blood
118,SRR1081717,Stomach
119,SRR1081813,Colon_Transverse
120,SRR1081935,Stomach
121,SRR1082080,Pancreas
122,SRR1082238,Colon_Transverse
123,SRR1082544,Pancreas
124,SRR1082909,Thyroid
125,SRR1082933,Stomach
126,SRR1082957,Stomach
127,SRR1083031,Thyroid
128,SRR1083125,Colon_Transverse
129,SRR1083149,Stomach
130,SRR1083191,Stomach
131,SRR1083262,Stomach
132,SRR1083360,Stomach
133,SRR1083408,Stomach
134,SRR1083432,Whole_Blood
135,SRR1083456,Colon_Transverse
136,SRR1083504,Colon_Sigmoid
137,SRR1083657,Whole_Blood
138,SRR1083678,Colon_Sigmoid
139,SRR1083868,Colon_Transverse
140,SRR1084252,Stomach
141,SRR1084323,Pancreas
142,SRR1084369,Muscle_Skeletal
143,SRR1084417,Muscle_Skeletal
144,SRR1084505,Colon_Sigmoid
145,SRR1084577,Whole_Blood
146,SRR1084602,Lung
147,SRR1084720,Whole_Blood
148,SRR1084766,Lung
149,SRR1084892,Heart_Atrial_Appendage
150,SRR1084965,Heart_Left_Ventricle
151,SRR1085187,Pancreas
152,SRR1085235,Colon_Transverse
153,SRR1085259,Colon_Transverse
154,SRR1085310,Pancreas
155,SRR1085450,Stomach
156,SRR1085519,Muscle_Skeletal
157,SRR1085687,Thyroid
158,SRR1085925,Heart_Left_Ventricle
159,SRR1086070,Pancreas
160,SRR1086140,Heart_Left_Ventricle
161,SRR1086164,Colon_Transverse
162,SRR1086304,Heart_Left_Ventricle
163,SRR1086728,Lung
164,SRR1086844,Heart_Left_Ventricle
165,SRR1086889,Heart_Atrial_Appendage
166,SRR1087101,Stomach
167,SRR1087197,Heart_Left_Ventricle
168,SRR1087271,Colon_Sigmoid
169,SRR1087487,Whole_Blood
170,SRR1087559,Lung
171,SRR1087704,Colon_Transverse
172,SRR1087752,Colon_Transverse
173,SRR1087825,Muscle_Skeletal
174,SRR1087992,Heart_Left_Ventricle
175,SRR1088044,Thyroid
176,SRR1088068,Stomach
177,SRR1088117,Stomach
178,SRR1088142,Heart_Left_Ventricle
179,SRR1088168,Whole_Blood
180,SRR1088291,Pancreas
181,SRR1088340,Heart_Atrial_Appendage
182,SRR1088413,Pancreas
183,SRR1088537,Pancreas
184,SRR1088680,Stomach
185,SRR1088734,Heart_Atrial_Appendage
186,SRR1088782,Stomach
187,SRR1088808,Thyroid
188,SRR1088878,Stomach
189,SRR1089424,Muscle_Skeletal
190,SRR1089537,Pancreas
191,SRR1089688,Pancreas
192,SRR1089737,Stomach
193,SRR1089809,Thyroid
194,SRR1089901,Muscle_Skeletal
195,SRR1089926,Thyroid
196,SRR1090119,Colon_Transverse
197,SRR1090334,Colon_Transverse
198,SRR1090383,Colon_Transverse
199,SRR1090431,Colon_Sigmoid
200,SRR1090483,Heart_Atrial_Appendage
201,SRR1090508,Whole_Blood
202,SRR1090626,Colon_Transverse
203,SRR1090770,Thyroid
204,SRR1090815,Thyroid
205,SRR1090907,Whole_Blood
206,SRR1091032,Pancreas
207,SRR1091054,Colon_Transverse
208,SRR1091144,Pancreas
209,SRR1091356,Stomach
210,SRR1091452,Whole_Blood
211,SRR1091524,Colon_Sigmoid
212,SRR1091548,Stomach
213,SRR1091817,Whole_Blood
214,SRR1092184,Stomach
215,SRR1092281,Stomach
216,SRR1092349,Muscle_Skeletal
217,SRR1092397,Colon_Transverse
218,SRR1092422,Whole_Blood
219,SRR1092493,Colon_Sigmoid
220,SRR1092541,Whole_Blood
221,SRR1092567,Thyroid
222,SRR1092749,Colon_Transverse
223,SRR1092889,Heart_Atrial_Appendage
224,SRR1092937,Pancreas
225,SRR1092985,Muscle_Skeletal
226,SRR1093243,Heart_Atrial_Appendage
227,SRR1093269,Heart_Atrial_Appendage
228,SRR1093340,Pancreas
229,SRR1093366,Colon_Sigmoid
230,SRR1093390,Stomach
231,SRR1093434,Pancreas
232,SRR1093504,Stomach
233,SRR1093577,Pancreas
234,SRR1093649,Heart_Left_Ventricle
235,SRR1094051,Muscle_Skeletal
236,SRR1094192,Heart_Atrial_Appendage
237,SRR1094506,Heart_Left_Ventricle
238,SRR1094555,Stomach
239,SRR1095407,Pancreas
240,SRR1095479,Pancreas
241,SRR1095651,Pancreas
242,SRR1095675,Colon_Transverse
243,SRR1095695,Lung
244,SRR1095720,Muscle_Skeletal
245,SRR1095937,Thyroid
246,SRR1096174,Muscle_Skeletal
247,SRR1096247,Stomach
248,SRR1096571,Whole_Blood
249,SRR1096662,Muscle_Skeletal
250,SRR1096924,Colon_Transverse
251,SRR1097320,Stomach
252,SRR1097525,Colon_Transverse
253,SRR1097618,Stomach
254,SRR1097777,Pancreas
255,SRR1097811,Colon_Transverse
256,SRR1097883,Pancreas
257,SRR1098002,Colon_Transverse
258,SRR1098074,Lung
259,SRR1098098,Colon_Transverse
260,SRR1098146,Stomach
261,SRR1098192,Pancreas
262,SRR1098288,Heart_Atrial_Appendage
263,SRR1098361,Stomach
264,SRR1098474,Muscle_Skeletal
265,SRR1098495,Stomach
266,SRR1098543,Pancreas
267,SRR1098588,Stomach
268,SRR1098660,Colon_Transverse
269,SRR1098785,Lung
270,SRR1098855,Stomach
271,SRR1098879,Muscle_Skeletal
272,SRR1098928,Pancreas
273,SRR1098998,Lung
274,SRR1099260,Whole_Blood
275,SRR1099286,Lung
276,SRR1099354,Colon_Transverse
277,SRR1099451,Colon_Transverse
