Sample	Tissgrp
SRR1068855	Muscle_Skeletal
SRR1068953	Stomach
SRR1069024	Whole_Blood
SRR1069166	Stomach
SRR1069279	Thyroid
SRR1069352	Pancreas
SRR1069690	Heart_Atrial_Appendage
SRR1069714	Stomach
SRR1069778	Stomach
SRR1069802	Heart_Left_Ventricle
SRR1069850	Colon_Transverse
SRR1069943	Colon_Sigmoid
SRR1069991	Colon_Transverse
SRR1070015	Lung
SRR1070358	Lung
SRR1070382	Stomach
SRR1070403	Pancreas
SRR1070549	Stomach
SRR1070764	Pancreas
SRR1070813	Whole_Blood
SRR1070863	Thyroid
SRR1070884	Stomach
SRR1070960	Thyroid
SRR1071231	Muscle_Skeletal
SRR1071519	Pancreas
SRR1071594	Muscle_Skeletal
SRR1071692	Heart_Left_Ventricle
SRR1071761	Stomach
SRR1071931	Whole_Blood
SRR1071955	Muscle_Skeletal
SRR1072007	Pancreas
SRR1072104	Pancreas
SRR1072150	Lung
SRR1072199	Stomach
SRR1072345	Whole_Blood
SRR1072529	Whole_Blood
SRR1072578	Colon_Transverse
SRR1072821	Stomach
SRR1072871	Whole_Blood
SRR1072920	Stomach
SRR1072972	Pancreas
SRR1073021	Pancreas
SRR1073119	Lung
SRR1073167	Pancreas
SRR1073217	Colon_Transverse
SRR1073267	Thyroid
SRR1073341	Thyroid
SRR1073459	Stomach
SRR1073655	Colon_Transverse
SRR1073679	Whole_Blood
SRR1073971	Colon_Transverse
SRR1073991	Pancreas
SRR1074066	Stomach
SRR1074090	Pancreas
SRR1074189	Thyroid
SRR1074239	Colon_Transverse
SRR1074314	Colon_Transverse
SRR1074337	Colon_Sigmoid
SRR1074359	Muscle_Skeletal
SRR1074385	Pancreas
SRR1074646	Whole_Blood
SRR1074670	Muscle_Skeletal
SRR1074694	Thyroid
SRR1074719	Muscle_Skeletal
SRR1074769	Lung
SRR1075078	Colon_Transverse
SRR1075174	Pancreas
SRR1075336	Pancreas
SRR1075631	Heart_Atrial_Appendage
SRR1075729	Colon_Transverse
SRR1075874	Stomach
SRR1075997	Heart_Atrial_Appendage
SRR1076244	Pancreas
SRR1076268	Stomach
SRR1076417	Stomach
SRR1076511	Whole_Blood
SRR1076753	Thyroid
SRR1076779	Heart_Left_Ventricle
SRR1076847	Whole_Blood
SRR1076868	Pancreas
SRR1076940	Colon_Transverse
SRR1076990	Stomach
SRR1077066	Colon_Transverse
SRR1077115	Heart_Atrial_Appendage
SRR1077288	Muscle_Skeletal
SRR1077380	Colon_Sigmoid
SRR1077503	Whole_Blood
SRR1077528	Heart_Atrial_Appendage
SRR1077643	Heart_Left_Ventricle
SRR1077667	Colon_Transverse
SRR1077805	Muscle_Skeletal
SRR1078066	Pancreas
SRR1078090	Stomach
SRR1078278	Colon_Transverse
SRR1078759	Stomach
SRR1078948	Colon_Transverse
SRR1079259	Whole_Blood
SRR1079567	Colon_Transverse
SRR1079660	Whole_Blood
SRR1079754	Pancreas
SRR1079900	Stomach
SRR1080222	Colon_Transverse
SRR1080415	Heart_Left_Ventricle
SRR1080438	Heart_Atrial_Appendage
SRR1080624	Pancreas
SRR1080672	Stomach
SRR1080766	Muscle_Skeletal
SRR1080951	Colon_Transverse
SRR1080977	Heart_Left_Ventricle
SRR1080998	Whole_Blood
SRR1081068	Colon_Sigmoid
SRR1081092	Stomach
SRR1081116	Colon_Transverse
SRR1081235	Stomach
SRR1081283	Lung
SRR1081332	Colon_Transverse
SRR1081493	Colon_Transverse
SRR1081712	Whole_Blood
SRR1081717	Stomach
SRR1081813	Colon_Transverse
SRR1081935	Stomach
SRR1082080	Pancreas
SRR1082238	Colon_Transverse
SRR1082544	Pancreas
SRR1082909	Thyroid
SRR1082933	Stomach
SRR1082957	Stomach
SRR1083031	Thyroid
SRR1083125	Colon_Transverse
SRR1083149	Stomach
SRR1083191	Stomach
SRR1083262	Stomach
SRR1083360	Stomach
SRR1083408	Stomach
SRR1083432	Whole_Blood
SRR1083456	Colon_Transverse
SRR1083504	Colon_Sigmoid
SRR1083657	Whole_Blood
SRR1083678	Colon_Sigmoid
SRR1083868	Colon_Transverse
SRR1084252	Stomach
SRR1084323	Pancreas
SRR1084369	Muscle_Skeletal
SRR1084417	Muscle_Skeletal
SRR1084505	Colon_Sigmoid
