pdb,ligand,mw,decision,reason
1C9Q,,,skip,no_ligands
1F9X,,,skip,no_ligands
1G3F,,,skip,no_ligands
1G73,,,skip,no_ligands
1I3O,,,skip,no_ligands
1I4O,,,skip,no_ligands
1I51,,,skip,no_ligands
1KMC,,,skip,no_ligands
1NW9,,,skip,no_ligands
1QBH,,,skip,no_ligands
1TFQ,998,442.594,keep,keep
1TFT,997,534.69,keep,keep
1XB0,,,skip,no_ligands
1XB1,,,skip,no_ligands
2ECG,,,skip,no_ligands
2I3H,BTB,209.24,keep,keep
2I3I,618,496.625,keep,keep
2I3I,BTB,209.24,keep,keep
2JK7,BI6,486.605,keep,keep
2KNA,,,skip,no_ligands
2L9M,,,skip,no_ligands
2OPY,CO9,439.464,keep,keep
2OPZ,,,skip,no_ligands
2POI,,,skip,no_ligands
2POP,,,skip,no_ligands
2QRA,,,skip,no_ligands
2UVL,,,skip,no_ligands
2VSL,15P,1529.829,skip,too_large
2VSL,MAA,103.12,skip,too_small
3CLX,X22,492.61,keep,keep
3CM2,X23,491.625,keep,keep
3CM7,X22,492.61,keep,keep
3D9T,,,skip,no_ligands
3D9U,,,skip,no_ligands
3EB5,,,skip,no_ligands
3EB6,,,skip,no_ligands
3EYL,SMK,505.652,keep,keep
3F7G,389,464.6,keep,keep
3F7H,419,518.69,keep,keep
3F7H,BTB,209.24,keep,keep
3F7I,BTB,209.24,keep,keep
3F7I,G13,478.626,keep,keep
3G76,CZ3,969.189,skip,too_large
3GT9,516,504.687,keep,keep
3GTA,851,504.687,keep,keep
3GTA,BTB,209.24,keep,keep
3HL5,9JZ,506.64,keep,keep
3M0A,,,skip,no_ligands
3M0D,,,skip,no_ligands
3M1D,,,skip,no_ligands
3MUP,SMK,505.652,keep,keep
3OZ1,BMB,609.801,keep,keep
3T6P,,,skip,no_ligands
3UW4,0DQ,177.226,keep,keep
3UW4,CHG,157.21,keep,keep
3UW4,MAA,103.12,skip,too_small
3UW5,0DQ,177.226,keep,keep
3UW5,CHG,157.21,keep,keep
3UW5,MAA,103.12,skip,too_small
4EB9,0O6,1181.473,skip,too_large
4EC4,0O6,1181.473,skip,too_large
4EC4,2PE,414.488,keep,keep
4HY0,1AQ,605.716,keep,keep
4HY4,1BG,523.71,keep,keep
4HY5,1AQ,605.716,keep,keep
4IC2,,,skip,no_ligands
4IC3,,,skip,no_ligands
4J3Y,,,skip,no_ligands
4J44,,,skip,no_ligands
4J45,,,skip,no_ligands
4J46,,,skip,no_ligands
4J47,,,skip,no_ligands
4J48,,,skip,no_ligands
4KJU,1RH,551.636,keep,keep
4KJV,1RK,547.599,keep,keep
4KMN,436,806.941,skip,too_large
4KMP,GT6,806.941,skip,too_large
4LGE,1Y0,537.694,keep,keep
4LGU,1YH,525.683,keep,keep
4MTI,2DX,539.709,keep,keep
4MTZ,0BU,1030.985,skip,too_large
4MU7,2DY,587.752,keep,keep
4OXC,,,skip,no_ligands
4WVS,4LZ,251.262,keep,keep
4WVS,LPH,113.115,skip,too_small
4WVS,MAA,103.12,skip,too_small
4WVT,3V7,157.17,keep,keep
4WVT,MAA,103.12,skip,too_small
4WVU,3V8,254.243,keep,keep
4WVU,HOX,180.204,keep,keep
4WVU,MAA,103.12,skip,too_small
5C0K,4WK,188.247,keep,keep
5C0L,4WJ,231.113,keep,keep
5C3H,4XE,212.312,keep,keep
5C3K,4XF,181.215,keep,keep
5C7A,4YE,260.355,keep,keep
5C7B,4YD,212.312,keep,keep
5C7C,4YC,322.853,keep,keep
5C7D,4YF,295.788,keep,keep
5C83,4YN,423.571,keep,keep
5C84,4YL,367.894,keep,keep
5M6E,7HT,473.633,keep,keep
5M6F,7HU,423.571,keep,keep
5M6H,7J6,492.633,keep,keep
5M6L,7H9,510.667,keep,keep
5M6M,7H8,476.634,keep,keep
5M6N,7H9,510.667,keep,keep
5O6T,,,skip,no_ligands
5OQW,A4E,540.693,keep,keep
6EXW,C3K,469.577,keep,keep
6EY2,C3T,486.647,keep,keep
6GJW,F2H,866.827,skip,too_large
6H6Q,FUK,539.685,keep,keep
6H6R,FUE,541.659,keep,keep
6HPR,,,skip,no_ligands
6QCI,,,skip,no_ligands
6W74,TKY,1180.341,skip,too_large
6W7O,TL7,1082.202,skip,too_large
6W8I,TKY,1180.341,skip,too_large
7NK0,,,skip,no_ligands
7QGJ,,,skip,no_ligands
7TRL,,,skip,no_ligands
7TRM,IUN,500.629,keep,keep
8AZA,,,skip,no_ligands
8DSF,TO0,1106.363,skip,too_large
8DSO,TOO,1108.379,skip,too_large
8GH7,7PE,310.384,keep,keep
8GH7,CHG,157.21,keep,keep
8GH7,MAA,103.12,skip,too_small
8GH7,ZHW,231.244,keep,keep
8W59,,,skip,no_ligands
8W5A,,,skip,no_ligands
