Ligase,PDB_Count,SDF_Count,Has_Log,Has_Sequence,Has_CIF,CIF_Count,Sequence_Files,Evidence_Score,Database_Recruiters
CHIP,5,19,True,True,True,1,1,4.45,0
CRBN,110,79,True,True,True,1,1,8,0
DCAF1,25,17,True,True,True,1,1,6.35,0
DCAF15,9,7,True,True,True,1,1,4.25,0
DCAF16,1,1,True,True,True,1,1,3.15,0
HUWE1,2,2,False,False,False,0,0,0.3,0
KEAP1,93,106,True,True,True,1,1,8,0
LIVIN,7,8,False,False,False,0,0,1.1,0
MDM2,181,122,True,True,True,1,1,8,0
SOCS2,6,5,True,True,True,1,1,3.85,0
TRIM21,106,118,True,True,True,2,2,8,0
VHL,60,81,True,True,True,1,1,8,0
XIAP,37,41,True,True,True,1,1,8,0
cIAP1,13,17,True,True,True,1,1,5.15,0
