RECRUITER_CODE,PDB_IDs,StructureFirstLigand
L00538,9QF1,A1I5T
L00539,9QFS,A1I6J
L00540,9QFY,A1I6I
L00753,4EC4,0O6
L00759,4WVS,SO4
L00757,4WVT,ZN
L00754,4EC4,0O6
L00003,4CI1,EF2
L00564,4TZC,EF2
L00565,4V2Y,EF2
L00566,4V32,EF2
L00567,5AMH,EF2
L00568,5AMI,EF2
L00569,5AMJ,EF2
L00570,5AMK,EF2
L00571,5OH1,EF2
L00381,5OH8,ROL
L00572,5YIZ,EF2
L00573,5YJ0,EF2
L00574,6R0S,JOE
L00297,6R0S,JOE
L00298,6R0S,JOE
L00575,6R0U,JO8
L00294,6R0U,JO8
L00576,6R12,EF2
L00302,6R12,EF2
L00577,6R13,EF2
L00299,6R13,EF2
L00578,6R18,JOQ
L00301,6R18,JOQ
L00579,6R19,EF2
L00300,6R19,EF2
L00580,6R1A,EF2
L00305,6R1A,EF2
L00581,6R1C,JOW
L00303,6R1C,JOW
L00582,6R1W,JPW
L00308,6R1W,JPW
L00583,7BQU,EF2
L00584,7PSO,835
L00585,8BC7,EF2
L00586,8OU3,W1T
L00462,8OU3,W1T
L00491,9DWV,A1BC8
L00492,9DWW,A1BC8
L00541,9GAO,A1IJM
L00542,9GJQ,A1IMN
L00543,9GY3,A1IQT
L00544,9H59,A1ISP
L00493,9NFQ,A1BX6
L00494,9NFR,A1BYX
L00495,9NGT,A1BC8
L00601,9ODR,A1CAV
L00602,9ODS,A1CAW
L00603,9OHQ,A1CBH
L00604,9OHR,A1CBG
L00605,9Q03,A1CM7
L00606,9Q22,A1CNP
L00496,9DLW,A1BAF
L00607,9PLY,A1CI0
L00608,9Y76,A1CSX
L00264,5Y5C,HXA
L00793,5Y5C,HXA
L00013,7BKU,PHN
L00663,7H5V,PHN
L00664,7H5X,PHN
L00665,7H5Y,PHN
L00666,7H5Z,PHN
L00046,9I1S,MYC
L00256,5WHL,HPP
L00192,5WHO,AO7
L00086,5WIY,1XM
L00218,6V6Z,Q5Y
L00024,7C5E,PGE
L00436,7OFD,VBW
L00216,7YEN,DHC
L00040,8Q1Q,IZS
L00718,8Q1R,IZS
L00623,8XGK,A1LVB
L00624,8XGV,A1LVC
L00497,9DU7,A1BCT
L00545,9HWR,A1IX2
L00546,9HWS,A1IX3
L00547,9HWT,A1IX4
L00548,9HWU,A1IXY
L00549,9HWV,A1IXZ
L00550,9HWW,A1IX0
L00551,9HWX,A1IX1
L00625,9UO8,A1L9D
L00626,9VD2,A1L99
L00727,2AXI,MPO
L00025,2GV2,NONE
L00697,3FE7,NONE
L00698,3FEA,MPD
L00400,5XXK,NONE
L00332,6T2D,M9E
L00333,6T2F,M9H
L00208,7NUS,SO4
L00257,9GFC,NONE
L00737,9GFK,SO4
L00738,9GFK,SO4
L00694,2YMV,FNR
L00695,2YMV,FNR
L00248,3FXP,D38
L00480,5AOG,HEM
L00498,7HLA,EPE
L00499,7HLA,EPE
L00500,7HLF,A1BE7
L00501,7HLG,A1BE8
L00328,7HLH,LWD
L00502,7HLI,A1BE9
L00250,7HLM,GTJ
L00503,7HLO,A1BFA
L00504,7HLP,A1BFB
L00505,7HLP,A1BFB
L00321,7HLR,LKU
L00507,7HLV,A1BFD
L00508,7HLV,A1BFD
L00509,7HLW,A1BFF
L00285,7HLY,JFS
L00203,7HLZ,BP4
L00510,7HM0,A1BFG
L00511,7HM6,A1BDJ
L00512,7HM7,EPE
L00513,7HM9,A1BFI
L00343,7HMC,NZ1
L00515,7HMI,A1BFK
L00474,7HML,X1J
L00487,7HMP,EPE
L00808,7HMP,EPE
L00516,7HMR,EPE
L00517,7HMT,A1BFM
L00518,7HMZ,A1BFN
L00519,7HN1,A1BFO
L00520,7HN2,EPE
L00521,7HN3,EPE
L00522,7HN6,EPE
L00523,7HN8,A1BFS
L00524,7HN8,A1BFS
L00525,7HN9,A1BFT
L00417,7HND,U78
L00526,7HNE,A1BFU
L00527,7HNF,EPE
L00528,7HNH,EPE
L00529,7HNM,A1BFX
L00320,7HNT,LHR
L00423,7HNV,UUM
L00530,7HNW,A1BFY
L00309,7HNY,K0G
L00531,7HO1,A1BFZ
L00341,7HO2,NUM
L00532,7HO3,A1BF0
L00533,7HO6,A1BF1
L00534,9EK5,A1BLD
L00553,9Q9O,A1I4Z
L00554,9Q9P,A1I4X
L00555,9Q9Q,A1I4Y
L00556,9Q9R,A1I4W
L00557,9QBA,A1I41
L00233,6GMN,F4E
L00237,6GMX,F7B
L00211,6I7R,FMT
L00350,8BB3,Q3X
L00627,8YMB,A1LY0
L00535,9DTX,A1BB4
L00536,9DTY,A1BB4
L00558,9GIO,3JF
L00559,9HYN,A1IYO
L00560,9HYO,A1IYN
L00561,9HYP,A1IYM
L00631,9L6F,A1L66
L00537,9MR9,A1BNT
L00611,9OIO,A1CBL
L00562,9QE4,A1I57
L00563,9QE5,A1I58
L00696,9RP9,PGE
L00096,4EC4,0O6
L00126,4WVS,SO4
L00119,4WVT,ZN
