Ligand,Recruiters,MasterRecruiter
A1B,"L00001,L00491,L00492,L00493,L00494,L00495,L00496,L00497,L00498,L00499,L00500,L00501,L00502,L00503,L00504,L00505,L00506,L00507,L00508,L00509,L00510,L00511,L00512,L00513,L00514,L00515,L00516,L00517,L00518,L00519,L00520,L00521,L00522,L00523,L00524,L00525,L00526,L00527,L00528,L00529,L00530,L00531,L00532,L00533,L00534,L00535,L00536,L00537",L00001
A1I,"L00002,L00538,L00539,L00540,L00541,L00542,L00543,L00544,L00545,L00546,L00547,L00548,L00549,L00550,L00551,L00552,L00553,L00554,L00555,L00556,L00557,L00558,L00559,L00560,L00561,L00562,L00563",L00002
EF2,"L00003,L00564,L00565,L00566,L00567,L00568,L00569,L00570,L00571,L00572,L00573,L00574,L00575,L00576,L00577,L00578,L00579,L00580,L00581,L00582,L00583,L00584,L00585,L00586",L00003
A1H,"L00004,L00587,L00588,L00589,L00590,L00591,L00592,L00593,L00594,L00595,L00596,L00597,L00598,L00599,L00600",L00004
A1C,"L00005,L00601,L00602,L00603,L00604,L00605,L00606,L00607,L00608,L00609,L00610,L00611,L00612",L00005
Y70,"L00006,L00613,L00614,L00615,L00616,L00617,L00618,L00619,L00620,L00621,L00622",L00006
A1L,"L00007,L00623,L00624,L00625,L00626,L00627,L00628,L00629,L00630,L00631",L00007
NUT,"L00008,L00632,L00633,L00634,L00635,L00636,L00637,L00638,L00639,L00640",L00008
0EH,"L00009,L00641,L00642,L00643,L00644,L00645,L00646,L00647",L00009
DCP,"L00010,L00648,L00649,L00650,L00651,L00652",L00010
LVY,"L00011,L00653,L00654,L00655,L00656,L00657",L00011
QFC,"L00012,L00658,L00659,L00660,L00661,L00662",L00012
PHN,"L00013,L00663,L00664,L00665,L00666",L00013
6CW,"L00014,L00667,L00668,L00669",L00014
8OG,"L00015,L00670,L00671,L00672",L00015
8W7,"L00016,L00673,L00674,L00675",L00016
A1E,"L00017,L00676,L00677,L00678",L00017
DGT,"L00018,L00679,L00680,L00681",L00018
DTP,"L00019,L00682,L00683,L00684",L00019
3DR,"L00020,L00685,L00686",L00020
3JF,"L00021,L00687,L00688",L00021
EF6,"L00022,L00689,L00690",L00022
GFD,"L00023,L00691,L00692,L00693",L00023
PGE,"L00024,L00694,L00695,L00696",L00024
PM3,"L00025,L00697,L00698",L00025
03M,"L00026,L00699",L00026
0KX,"L00027,L00700",L00027
1AQ,"L00028,L00701,L00702,L00703,L00704",L00028
6GG,"L00030,L00705",L00030
7H9,"L00031,L00706,L00707,L00708,L00709",L00031
85C,"L00032,L00710",L00032
9E7,"L00033,L00711",L00033
A1J,"L00034,L00712",L00034
DG8,"L00035,L00713",L00035
EDA,"L00036,L00714",L00036
F4K,"L00037,L00715",L00037
FUU,"L00038,L00716",L00038
HRE,"L00039,L00717",L00039
IZS,"L00040,L00718",L00040
JH9,"L00041,L00719",L00041
LQH,"L00042,L00720,L00721,L00722,L00723",L00042
LWK,"L00043,L00724",L00043
MBY,"L00044,L00725",L00044
MIQ,"L00045,L00726",L00045
MPO,"L00046,L00727",L00046
O6M,"L00047,L00728",L00047
Q5Y,"L00048,L00729",L00048
RN9,"L00051,L00730",L00051
SMK,"L00052,L00731,L00732,L00733,L00734,L00735",L00052
U1E,"L00053,L00736",L00053
URL,"L00054,L00737,L00738",L00054
X22,"L00056,L00739,L00740,L00741,L00742,L00743",L00056
08A,"L00058,L00744",L00058
1BG,"L00067,L00745",L00067
1RH,"L00080,L00746",L00080
1RK,"L00081,L00747",L00081
1Y0,"L00087,L00748",L00087
1YH,"L00088,L00749",L00088
28W,"L00092,L00750",L00092
2DX,"L00093,L00751",L00093
2DY,"L00094,L00752",L00094
2PE,"L00096,L00753,L00754",L00096
389,"L00108,L00755,L00756",L00108
3V7,"L00119,L00757",L00119
4ID,"L00125,L00758",L00125
4LZ,"L00126,L00759",L00126
4WJ,"L00132,L00760",L00132
4WK,"L00133,L00761",L00133
4XE,"L00134,L00762",L00134
4XF,"L00135,L00763",L00135
4YC,"L00136,L00764",L00136
4YD,"L00137,L00765",L00137
4YE,"L00138,L00766",L00138
4YF,"L00139,L00767",L00139
4YL,"L00140,L00768",L00140
4YN,"L00141,L00769",L00141
516,"L00143,L00770,L00771",L00143
7H8,"L00162,L00772",L00162
7HT,"L00164,L00773",L00164
7HU,"L00165,L00774",L00165
7J6,"L00166,L00775",L00166
997,"L00173,L00776",L00173
998,"L00174,L00777",L00174
9JZ,"L00184,L00778",L00184
A4E,"L00188,L00779",L00188
BI6,"L00199,L00780,L00781",L00199
BIF,"L00200,L00782",L00200
BMB,"L00202,L00783,L00784",L00202
C3K,"L00205,L00785,L00786",L00205
C3T,"L00206,L00787,L00788",L00206
CO9,"L00209,L00789",L00209
D97,"L00215,L00790",L00215
FUE,"L00245,L00791",L00245
FUK,"L00246,L00792",L00246
HXA,"L00264,L00793",L00264
I18,"L00266,L00794",L00266
IMZ,"L00272,L00795",L00272
IUN,"L00274,L00796,L00797",L00274
J6N,"L00280,L00798",L00280
K1G,"L00310,L00799",L00310
RZJ,"L00385,L00800",L00385
S0V,"L00386,L00801",L00386
VM3,"L00446,L00802",L00446
VM8,"L00447,L00803",L00447
VMZ,"L00449,L00804",L00449
WW8,"L00473,L00805",L00473
X23,"L00475,L00806,L00807",L00475
ZQA,"L00487,L00808",L00487
