RECRUITER_CODE,count
L00808,2
L00793,2
L00759,2
L00757,2
L00754,2
L00753,2
L00738,2
L00737,2
L00727,2
L00718,2
L00698,2
L00696,2
L00695,2
L00694,2
L00666,2
L00665,2
L00664,2
L00663,2
L00631,2
L00627,2
L00626,2
L00625,2
L00624,2
L00623,2
L00611,2
L00608,2
L00607,2
L00606,2
L00605,2
L00604,2
L00603,2
L00602,2
L00601,2
L00586,2
L00585,2
L00584,2
L00583,2
L00582,2
L00581,2
L00580,2
L00579,2
L00578,2
L00577,2
L00576,2
L00575,2
L00574,2
L00573,2
L00572,2
L00571,2
L00570,2
L00569,2
L00568,2
L00567,2
L00566,2
L00565,2
L00564,2
L00563,2
L00562,2
L00561,2
L00560,2
L00559,2
L00558,2
L00557,2
L00556,2
L00555,2
L00554,2
L00553,2
L00551,2
L00550,2
L00549,2
L00548,2
L00547,2
L00546,2
L00545,2
L00544,2
L00543,2
L00542,2
L00541,2
L00540,2
L00539,2
L00538,2
L00537,2
L00536,2
L00535,2
L00534,2
L00533,2
L00532,2
L00531,2
L00530,2
L00529,2
L00528,2
L00527,2
L00526,2
L00525,2
L00524,2
L00523,2
L00522,2
L00521,2
L00520,2
L00519,2
L00518,2
L00517,2
L00516,2
L00515,2
L00513,2
L00512,2
L00511,2
L00510,2
L00509,2
L00508,2
L00507,2
L00505,2
L00504,2
L00503,2
L00502,2
L00501,2
L00500,2
L00499,2
L00498,2
L00497,2
L00496,2
L00495,2
L00494,2
L00493,2
L00492,2
L00491,2
L00487,2
L00480,2
L00474,2
L00462,2
L00436,2
L00423,2
L00417,2
L00381,2
L00350,2
L00343,2
L00341,2
L00333,2
L00332,2
L00328,2
L00321,2
L00320,2
L00309,2
L00308,2
L00305,2
L00303,2
L00302,2
L00301,2
L00300,2
L00299,2
L00298,2
L00297,2
L00294,2
L00285,2
L00264,2
L00256,2
L00250,2
L00248,2
L00237,2
L00233,2
L00218,2
L00216,2
L00211,2
L00208,2
L00203,2
L00192,2
L00126,2
L00119,2
L00096,2
L00086,2
L00046,2
L00040,2
L00024,2
L00013,2
L00003,2
