SMILES	Count	Recruiters
c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O	21	L00305,L00300,L00302,L00299,L00003,L00564,L00565,L00566,L00567,L00568,L00569,L00570,L00571,L00572,L00573,L00576,L00577,L00579,L00580,L00583,L00585
c1cn(nn1)C2=CNN(C2=O)c3cc(ncn3)N4CCOCC4	15	L00004,L00587,L00588,L00589,L00590,L00591,L00592,L00593,L00594,L00595,L00596,L00597,L00598,L00599,L00600
c1cc2c(c(c1)N)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O	11	L00006,L00613,L00614,L00615,L00616,L00617,L00618,L00619,L00620,L00621,L00622
C1CN(CCN1CCO)CCS(=O)(=O)O	11	L00487,L00498,L00499,L00512,L00516,L00520,L00521,L00522,L00527,L00528,L00808
CC(C)Oc1cc(ccc1C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)c4ccc(cc4)Cl)c5ccc(cc5)Cl)OC	10	L00008,L00632,L00633,L00634,L00635,L00636,L00637,L00638,L00639,L00640
CCCCCCC[C@](C)(C(=O)O)N	8	L00009,L00641,L00642,L00643,L00644,L00645,L00646,L00647
c1cc2c(c(c1)OCc3ccc(cc3)CN4CCN(CC4)c5ccc(cc5F)C#N)CN(C2=O)[C@H]6CCC(=O)NC6=O	6	L00012,L00658,L00659,L00660,L00661,L00662
c1cc2c(c(c1)N)CN(C2=O)[C@H]3CCC(=O)NC3=O	6	L00011,L00653,L00654,L00655,L00656,L00657
CC[C@@H](C(=O)N[C@H]1[C@H](CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)CO)N	6	L00056,L00739,L00740,L00741,L00742,L00743
CC[C@@H](C(=O)N[C@H]1[C@H](CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)CCN)N	6	L00052,L00731,L00732,L00733,L00734,L00735
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O	6	L00010,L00648,L00649,L00650,L00651,L00652
c1ccc2c(c1)C=C(N3C2=NCC3)c4ccccc4F	5	L00042,L00720,L00721,L00722,L00723
c1cc2ccc3cccnc3c2nc1	5	L00013,L00663,L00664,L00665,L00666
C[C@@H]1CN([C@H](C[NH2+]1)CN2CCOC[C@H]2C)CC(=O)N3CC(c4c3cc(cn4)Cc5ccc(cc5)F)(C)C	5	L00031,L00706,L00707,L00708,L00709
CCO[C@@H]1C[C@@H]2CN([C@@H](CN2C1)C(=O)N[C@@H]3CCOc4c3cccc4)C(=O)[C@H](C5CCC(CC5)(F)F)NC(=O)[C@H](C)NC	5	L00028,L00701,L00702,L00703,L00704
c1nc2c(n1[C@H]3C[C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)N=C(NC2=O)N	4	L00018,L00679,L00680,L00681
