Ligand,Ligase,PDB_ID,MW,Recruiter_Code
A1B,TRIM21,7HMH,146.19,L00514
A1B,TRIM21,7HN3,172.232,L00521
A1B,TRIM21,7HLO,175.232,L00503
A1B,TRIM21,7HMR,184.283,L00516
A1B,TRIM21,7HMT,184.283,L00517
A1B,TRIM21,7HLA,200.286,L00498
A1B,TRIM21,7HLA,200.286,L00499
A1B,TRIM21,7HMI,200.286,L00515
A1B,TRIM21,7HM7,201.266,L00512
A1B,TRIM21,7HM0,201.314,L00510
A1B,TRIM21,7HLG,202.273,L00501
A1B,TRIM21,7HM6,202.273,L00511
A1B,TRIM21,7HLI,209.333,L00502
A1B,TRIM21,7HN1,211.353,L00519
A1B,TRIM21,7HM9,212.337,L00513
A1B,TRIM21,7HO6,214.309,L00533
A1B,TRIM21,7HNH,215.297,L00528
A1B,TRIM21,7HN6,216.281,L00522
A1B,TRIM21,7HLF,216.3,L00500
A1B,TRIM21,7HLS,216.325,L00506
A1B,TRIM21,7HN2,217.338,L00520
A1B,TRIM21,7HNF,218.272,L00527
A1B,TRIM21,7HN8,221.366,L00523
A1B,TRIM21,7HN8,221.366,L00524
A1B,TRIM21,7HNE,222.31,L00526
A1B,TRIM21,7HO1,223.342,L00531
A1B,TRIM21,7HN9,230.377,L00525
A1B,TRIM21,7HLV,233.337,L00507
A1B,TRIM21,7HLV,233.337,L00508
A1B,TRIM21,7HNM,233.337,L00529
A1B,TRIM21,7HNW,235.349,L00530
A1B,TRIM21,7HLW,238.353,L00509
A1B,TRIM21,7HO3,238.353,L00532
A1B,TRIM21,7HLP,258.358,L00504
A1B,TRIM21,7HLP,258.358,L00505
A1B,TRIM21,7HMZ,275.364,L00518
A1B,CRBN,9DWV,304.416,L00491
A1B,CRBN,9DWW,304.416,L00492
A1B,CRBN,9NGT,304.416,L00495
A1B,CRBN,9NFR,315.885,L00494
A1B,CRBN,9DQD,353.511,L00001
A1B,KEAP1,9DU7,361.918,L00497
A1B,TRIM21,9EK5,433.012,L00534
A1B,CRBN,9NFQ,600.871,L00493
A1B,VHL,9MR9,784.17,L00537
A1B,VHL,9DTX,921.352,L00535
A1B,VHL,9DTY,921.352,L00536
A1B,DCAF1,9DLW,1521.744,L00496
A1C,VHL,9OIQ,185.271,L00612
A1C,VHL,9OIM,216.281,L00609
A1C,VHL,9OIN,225.38,L00610
A1C,VHL,9OIO,242.382,L00611
A1C,CRBN,9ODS,353.467,L00602
A1C,CRBN,9ODR,367.49,L00601
A1C,CRBN,9Q22,451.652,L00606
A1C,CRBN,9O91,463.667,L00005
A1C,CRBN,9OHQ,477.694,L00603
A1C,CRBN,9OHR,519.731,L00604
A1C,DCAF1,9PLY,559.57,L00607
A1C,DCAF1,9Y76,642.684,L00608
A1C,CRBN,9Q03,741.467,L00605
A1E,TRIM21,9M3N,445.614,L00678
A1E,KEAP1,9J7F,1355.947,L00676
A1E,KEAP1,9J71,1474.079,L00017
A1E,KEAP1,9J7G,1518.132,L00677
A1H,CRBN,8RDS,286.372,L00588
A1H,CRBN,8RDP,290.791,L00004
A1H,CRBN,8RDR,303.359,L00587
A1H,CRBN,8RDT,346.424,L00589
A1H,KEAP1,9ETY,394.607,L00594
A1H,KEAP1,9ETX,400.01,L00593
A1H,DCAF15,8ROX,432.414,L00591
A1H,DCAF15,8ROY,531.547,L00592
A1H,KEAP1,9F2P,588.852,L00595
A1H,KEAP1,9F2Q,614.89,L00596
A1H,VHL,9F1M,650.01,L00599
A1H,VHL,9F1N,664.037,L00600
A1H,VHL,9EQJ,746.113,L00597
A1H,VHL,9EQM,746.113,L00598
A1H,CRBN,8RQ9,858.702,L00590
A1I,MDM2,9GFK,217.378,L00552
A1I,CRBN,9GJQ,241.335,L00542
A1I,CRBN,9GAO,288.388,L00541
A1I,KEAP1,9HWR,370.534,L00545
A1I,VHL,9GIO,380.555,L00558
A1I,KEAP1,9HWS,383.573,L00546
A1I,CRBN,9H59,424.586,L00544
A1I,CHIP,9QFS,426.455,L00539
A1I,CHIP,9QFY,433.512,L00540
A1I,TRIM21,9QBA,451.714,L00557
A1I,CHIP,9QEU,483.698,L00002
A1I,CHIP,9QF1,492.606,L00538
A1I,KEAP1,9HWU,495.701,L00548
A1I,KEAP1,9HWV,495.701,L00549
A1I,KEAP1,9HWW,509.728,L00550
A1I,TRIM21,9Q9Q,511.752,L00555
A1I,KEAP1,9HWT,523.755,L00547
A1I,KEAP1,9HWX,523.755,L00551
A1I,VHL,9QE5,544.778,L00563
A1I,VHL,9QE4,546.794,L00562
A1I,TRIM21,9Q9O,548.861,L00553
A1I,TRIM21,9Q9P,553.833,L00554
A1I,TRIM21,9Q9R,627.912,L00556
A1I,CRBN,9GY3,700.992,L00543
A1I,VHL,9HYN,1007.211,L00559
A1I,VHL,9HYP,1085.389,L00561
A1I,VHL,9HYO,1207.493,L00560
A1J,CHIP,9R1P,562.795,L00034
A1J,CRBN,9SAF,763.535,L00712
A1L,VHL,8ZV8,202.25,L00628
A1L,VHL,9IPW,216.277,L00630
A1L,VHL,8ZVJ,246.303,L00629
A1L,HUWE1,8Y26,345.436,L00007
A1L,KEAP1,8XGK,481.093,L00623
A1L,KEAP1,8XGV,486.713,L00624
A1L,KEAP1,9UO8,666.004,L00625
A1L,KEAP1,9VD2,703.744,L00626
A1L,VHL,8YMB,1024.582,L00627
A1L,VHL,9L6F,1159.658,L00631
URL,MDM2,9FQL,104.153,L00054
URL,MDM2,9GFK,146.234,L00737
URL,MDM2,9GFK,146.234,L00738
