Ligand,Ligase,PDB_ID,MW,Recruiter_Code,new_ligand
A1B,TRIM21,7HMH,146.19,L00514,A00
A1B,TRIM21,7HN3,172.232,L00521,A01
A1B,TRIM21,7HLO,175.232,L00503,A02
A1B,TRIM21,7HMR,184.283,L00516,A03
A1B,TRIM21,7HMT,184.283,L00517,A04
A1B,TRIM21,7HLA,200.286,L00498,A05
A1B,TRIM21,7HLA,200.286,L00499,A06
A1B,TRIM21,7HMI,200.286,L00515,A07
A1B,TRIM21,7HM7,201.266,L00512,A08
A1B,TRIM21,7HM0,201.314,L00510,A09
A1B,TRIM21,7HLG,202.273,L00501,A10
A1B,TRIM21,7HM6,202.273,L00511,A11
A1B,TRIM21,7HLI,209.333,L00502,A12
A1B,TRIM21,7HN1,211.353,L00519,A13
A1B,TRIM21,7HM9,212.337,L00513,A14
A1B,TRIM21,7HO6,214.309,L00533,A15
A1B,TRIM21,7HNH,215.297,L00528,A16
A1B,TRIM21,7HN6,216.281,L00522,A17
A1B,TRIM21,7HLF,216.3,L00500,A18
A1B,TRIM21,7HLS,216.325,L00506,A19
A1B,TRIM21,7HN2,217.338,L00520,A20
A1B,TRIM21,7HNF,218.272,L00527,A21
A1B,TRIM21,7HN8,221.366,L00523,A22
A1B,TRIM21,7HN8,221.366,L00524,A23
A1B,TRIM21,7HNE,222.31,L00526,A24
A1B,TRIM21,7HO1,223.342,L00531,A25
A1B,TRIM21,7HN9,230.377,L00525,A26
A1B,TRIM21,7HLV,233.337,L00507,A27
A1B,TRIM21,7HLV,233.337,L00508,A28
A1B,TRIM21,7HNM,233.337,L00529,A29
A1B,TRIM21,7HNW,235.349,L00530,A30
A1B,TRIM21,7HLW,238.353,L00509,A31
A1B,TRIM21,7HO3,238.353,L00532,A32
A1B,TRIM21,7HLP,258.358,L00504,A33
A1B,TRIM21,7HLP,258.358,L00505,A34
A1B,TRIM21,7HMZ,275.364,L00518,A35
A1B,CRBN,9DWV,304.416,L00491,A36
A1B,CRBN,9DWW,304.416,L00492,A37
A1B,CRBN,9NGT,304.416,L00495,A38
A1B,CRBN,9NFR,315.885,L00494,A39
A1B,CRBN,9DQD,353.511,L00001,A40
A1B,KEAP1,9DU7,361.918,L00497,A41
A1B,TRIM21,9EK5,433.012,L00534,A42
A1B,CRBN,9NFQ,600.871,L00493,A43
A1B,VHL,9MR9,784.17,L00537,A44
A1B,VHL,9DTX,921.352,L00535,A45
A1B,VHL,9DTY,921.352,L00536,A46
A1B,DCAF1,9DLW,1521.744,L00496,A47
A1C,VHL,9OIQ,185.271,L00612,A48
A1C,VHL,9OIM,216.281,L00609,A49
A1C,VHL,9OIN,225.38,L00610,A50
A1C,VHL,9OIO,242.382,L00611,A51
A1C,CRBN,9ODS,353.467,L00602,A52
A1C,CRBN,9ODR,367.49,L00601,A53
A1C,CRBN,9Q22,451.652,L00606,A54
A1C,CRBN,9O91,463.667,L00005,A55
A1C,CRBN,9OHQ,477.694,L00603,A56
A1C,CRBN,9OHR,519.731,L00604,A57
A1C,DCAF1,9PLY,559.57,L00607,A58
A1C,DCAF1,9Y76,642.684,L00608,A59
A1C,CRBN,9Q03,741.467,L00605,A60
A1E,TRIM21,9M3N,445.614,L00678,A61
A1E,KEAP1,9J7F,1355.947,L00676,A62
A1E,KEAP1,9J71,1474.079,L00017,A63
A1E,KEAP1,9J7G,1518.132,L00677,A64
