RECRUITER_CODE,SMILES
L00002,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00538,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00539,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00540,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00753,C(COCCOCCOCCOCCOCCOCCOCCOCCO)O
L00759,c1cc(ccc1C[C@@H](C(=O)O)N)OCCN=[N+]=N
L00757,c1c(nnn1CCCO)CO
L00754,C(COCCOCCOCCOCCOCCOCCOCCOCCO)O
L00003,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00564,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00565,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00566,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00567,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00568,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00569,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00570,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00571,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00381,COc1ccc(cc1OC2CCCC2)[C@H]3CC(=O)NC3
L00572,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00573,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00574,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00297,c1cc(c(c(c1)[N+](=O)[O-])C(=O)O)C(=O)N[C@H]2CC(=O)NC2=O
L00298,c1cc2c(c(c1)[N+](=O)[O-])C(=O)N(C2=O)[C@H]3CC(=O)NC3=O
L00575,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00294,c1cc2c(c(c1)N)C(=O)N(C2=O)[C@H]3CC(=O)NC3=O
L00576,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00302,c1ccc(cc1)CC(=O)N[C@H]2CC(=O)NC2=O
L00577,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00299,c1ccc(cc1)CCC(=O)N[C@H]2CC(=O)NC2=O
L00578,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00301,c1cc(ccc1CN)COC(=O)N[C@H]2CC(=O)NC2=O
L00579,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00300,C1C[C@H](NC1)COC(=O)N[C@H]2CC(=O)NC2=O
L00580,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00305,C1C[C@@H](NC1)COC(=O)N[C@H]2CCC(=O)NC2=O
L00581,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00303,c1cc(ccc1CNC(=O)CCC(=O)O)COC(=O)N[C@H]2CC(=O)NC2=O
L00582,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00308,C1CC(=O)NC(=O)[C@H]1NC(=O)OCC2CCC(CC2)N
L00583,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00584,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00585,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00586,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O
L00462,c1cc(c(cc1N)F)C(=O)N[C@H]2CCC(=O)NC2=O
L00001,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00491,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00492,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00541,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00542,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00543,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00544,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00493,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00494,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00495,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00005,CCCN1c2ccc(cc2CCC1=O)NS(=O)(=O)Cc3ccc(c(c3)Cl)C
L00601,CCCN1c2ccc(cc2CCC1=O)NS(=O)(=O)Cc3ccc(c(c3)Cl)C
L00602,CCCN1c2ccc(cc2CCC1=O)NS(=O)(=O)Cc3ccc(c(c3)Cl)C
L00603,CCCN1c2ccc(cc2CCC1=O)NS(=O)(=O)Cc3ccc(c(c3)Cl)C
