Scaffold_Hash,Scaffold_ID_Group
bec95c18,"CHIP_SCAF_1, HUWE1_SCAF_5"
5d57d650,"CHIP_SCAF_2, HUWE1_SCAF_4, PARKIN_SCAF_25"
dd2ba3e3,"CHIP_SCAF_3, HUWE1_SCAF_1"
fac55069,CHIP_SCAF_4
3fdb2b75,CHIP_SCAF_5
6d930456,"CHIP_SCAF_6, CRBN_SCAF_34, KEAP1_SCAF_55, MDM2_SCAF_76, TRIM21_SCAF_56, VHL_SCAF_29"
84480431,"CHIP_SCAF_7, CRBN_SCAF_36, HUWE1_SCAF_21, KEAP1_SCAF_11, MDM2_SCAF_5, PARKIN_SCAF_11, TRIM21_SCAF_2, XIAP_SCAF_14, cIAP1_SCAF_17"
855910bc,CRBN_SCAF_1
43f1414e,CRBN_SCAF_2
427a14f4,"CRBN_SCAF_3, HUWE1_SCAF_6"
cefeac87,CRBN_SCAF_4
afaf882a,CRBN_SCAF_5
5a155197,CRBN_SCAF_6
4909685b,CRBN_SCAF_7
ca830c99,CRBN_SCAF_8
273099a7,CRBN_SCAF_9
ab9faff6,CRBN_SCAF_10
fffd9473,CRBN_SCAF_11
a50edc35,CRBN_SCAF_12
0f8f30b6,CRBN_SCAF_13
b5d8c602,CRBN_SCAF_14
cd394483,CRBN_SCAF_15
848a5bd1,CRBN_SCAF_16
9ea40b00,CRBN_SCAF_17
629d8141,"CRBN_SCAF_18, HUWE1_SCAF_22"
ed7b80c0,CRBN_SCAF_19
6a2966dc,CRBN_SCAF_20
10b06a9f,CRBN_SCAF_21
9df3e0bf,CRBN_SCAF_22
b7614781,CRBN_SCAF_23
4556ee91,CRBN_SCAF_24
cdbc44ed,CRBN_SCAF_25
03da879d,CRBN_SCAF_26
477b27df,CRBN_SCAF_27
23d7282c,CRBN_SCAF_28
fd8a02f9,"CRBN_SCAF_29, DCAF15_SCAF_3, KEAP1_SCAF_53, VHL_SCAF_28"
9f3c713c,CRBN_SCAF_30
d99014c2,CRBN_SCAF_31
a55574c2,CRBN_SCAF_32
606001e6,"CRBN_SCAF_33, DCAF1_SCAF_10, KEAP1_SCAF_52, TRIM21_SCAF_1, VHL_SCAF_27"
d11e055c,"CRBN_SCAF_35, DCAF1_SCAF_11, VHL_SCAF_30"
6ea387f3,DCAF1_SCAF_1
697c0e3f,DCAF1_SCAF_2
2054ec20,DCAF1_SCAF_3
659ffb71,DCAF1_SCAF_4
f90df9ca,DCAF1_SCAF_5
aec72761,DCAF1_SCAF_6
db3864ed,DCAF1_SCAF_7
d91107e6,DCAF1_SCAF_8
6613fdd5,DCAF1_SCAF_9
d38cedba,DCAF15_SCAF_1
9caccf97,DCAF15_SCAF_2
3f8d288b,DCAF16_SCAF_1
457de220,HUWE1_SCAF_2
65795e83,"HUWE1_SCAF_3, RNF4_SCAF_1"
f5eb2f86,HUWE1_SCAF_7
cfa9a5d7,HUWE1_SCAF_8
997b697d,HUWE1_SCAF_9
3a594800,HUWE1_SCAF_10
bd615db5,HUWE1_SCAF_11
f7bf1bc0,HUWE1_SCAF_12
7718f69b,HUWE1_SCAF_13
3aca7c1e,HUWE1_SCAF_14
ea1e3ae9,HUWE1_SCAF_15
72a958c3,HUWE1_SCAF_16
bdfaa371,HUWE1_SCAF_17
5a256859,HUWE1_SCAF_18
88e5f8a8,HUWE1_SCAF_19
01f31866,HUWE1_SCAF_20
418e9198,"HUWE1_SCAF_23, KEAP1_SCAF_51, VHL_SCAF_26"
d28d1202,"HUWE1_SCAF_24, MDM2_SCAF_4"
ecbb6fde,KEAP1_SCAF_1
0b26e46c,KEAP1_SCAF_2
