Unified_Scaffold_ID,Scaffold_Hash,Original_Scaffold_ID
LR-SCAF00001,bec95c18,CHIP_SCAF_1
LR-SCAF00001,bec95c18,HUWE1_SCAF_5
LR-SCAF00002,5d57d650,CHIP_SCAF_2
LR-SCAF00002,5d57d650,HUWE1_SCAF_4
LR-SCAF00002,5d57d650,PARKIN_SCAF_25
LR-SCAF00003,dd2ba3e3,CHIP_SCAF_3
LR-SCAF00003,dd2ba3e3,HUWE1_SCAF_1
LR-SCAF00004,fac55069,CHIP_SCAF_4
LR-SCAF00005,3fdb2b75,CHIP_SCAF_5
LR-SCAF00006,6d930456,CHIP_SCAF_6
LR-SCAF00006,6d930456,CRBN_SCAF_34
LR-SCAF00006,6d930456,KEAP1_SCAF_55
LR-SCAF00006,6d930456,MDM2_SCAF_76
LR-SCAF00006,6d930456,TRIM21_SCAF_56
LR-SCAF00006,6d930456,VHL_SCAF_29
LR-SCAF00007,84480431,CHIP_SCAF_7
LR-SCAF00007,84480431,CRBN_SCAF_36
LR-SCAF00007,84480431,HUWE1_SCAF_21
LR-SCAF00007,84480431,KEAP1_SCAF_11
LR-SCAF00007,84480431,MDM2_SCAF_5
LR-SCAF00007,84480431,PARKIN_SCAF_11
LR-SCAF00007,84480431,TRIM21_SCAF_2
LR-SCAF00007,84480431,XIAP_SCAF_14
LR-SCAF00007,84480431,cIAP1_SCAF_17
LR-SCAF00008,855910bc,CRBN_SCAF_1
LR-SCAF00009,43f1414e,CRBN_SCAF_2
LR-SCAF00010,427a14f4,CRBN_SCAF_3
LR-SCAF00010,427a14f4,HUWE1_SCAF_6
LR-SCAF00011,cefeac87,CRBN_SCAF_4
LR-SCAF00012,afaf882a,CRBN_SCAF_5
LR-SCAF00013,5a155197,CRBN_SCAF_6
LR-SCAF00014,4909685b,CRBN_SCAF_7
LR-SCAF00015,ca830c99,CRBN_SCAF_8
LR-SCAF00016,273099a7,CRBN_SCAF_9
LR-SCAF00017,ab9faff6,CRBN_SCAF_10
LR-SCAF00018,fffd9473,CRBN_SCAF_11
LR-SCAF00019,a50edc35,CRBN_SCAF_12
LR-SCAF00020,0f8f30b6,CRBN_SCAF_13
LR-SCAF00021,b5d8c602,CRBN_SCAF_14
LR-SCAF00022,cd394483,CRBN_SCAF_15
LR-SCAF00023,848a5bd1,CRBN_SCAF_16
LR-SCAF00024,9ea40b00,CRBN_SCAF_17
LR-SCAF00025,629d8141,CRBN_SCAF_18
LR-SCAF00025,629d8141,HUWE1_SCAF_22
LR-SCAF00026,ed7b80c0,CRBN_SCAF_19
LR-SCAF00027,6a2966dc,CRBN_SCAF_20
LR-SCAF00028,10b06a9f,CRBN_SCAF_21
LR-SCAF00029,9df3e0bf,CRBN_SCAF_22
LR-SCAF00030,b7614781,CRBN_SCAF_23
LR-SCAF00031,4556ee91,CRBN_SCAF_24
LR-SCAF00032,cdbc44ed,CRBN_SCAF_25
LR-SCAF00033,03da879d,CRBN_SCAF_26
LR-SCAF00034,477b27df,CRBN_SCAF_27
LR-SCAF00035,23d7282c,CRBN_SCAF_28
LR-SCAF00036,fd8a02f9,CRBN_SCAF_29
LR-SCAF00036,fd8a02f9,DCAF15_SCAF_3
LR-SCAF00036,fd8a02f9,KEAP1_SCAF_53
LR-SCAF00036,fd8a02f9,VHL_SCAF_28
LR-SCAF00037,9f3c713c,CRBN_SCAF_30
LR-SCAF00038,d99014c2,CRBN_SCAF_31
LR-SCAF00039,a55574c2,CRBN_SCAF_32
LR-SCAF00040,606001e6,CRBN_SCAF_33
LR-SCAF00040,606001e6,DCAF1_SCAF_10
LR-SCAF00040,606001e6,KEAP1_SCAF_52
LR-SCAF00040,606001e6,TRIM21_SCAF_1
LR-SCAF00040,606001e6,VHL_SCAF_27
LR-SCAF00041,d11e055c,CRBN_SCAF_35
LR-SCAF00041,d11e055c,DCAF1_SCAF_11
LR-SCAF00041,d11e055c,VHL_SCAF_30
LR-SCAF00042,6ea387f3,DCAF1_SCAF_1
LR-SCAF00043,697c0e3f,DCAF1_SCAF_2
LR-SCAF00044,2054ec20,DCAF1_SCAF_3
LR-SCAF00045,659ffb71,DCAF1_SCAF_4
LR-SCAF00046,f90df9ca,DCAF1_SCAF_5
LR-SCAF00047,aec72761,DCAF1_SCAF_6
LR-SCAF00048,db3864ed,DCAF1_SCAF_7
LR-SCAF00049,d91107e6,DCAF1_SCAF_8
LR-SCAF00050,6613fdd5,DCAF1_SCAF_9
LR-SCAF00051,d38cedba,DCAF15_SCAF_1
LR-SCAF00052,9caccf97,DCAF15_SCAF_2
LR-SCAF00053,3f8d288b,DCAF16_SCAF_1
LR-SCAF00054,457de220,HUWE1_SCAF_2
LR-SCAF00055,65795e83,HUWE1_SCAF_3
LR-SCAF00055,65795e83,RNF4_SCAF_1
LR-SCAF00056,f5eb2f86,HUWE1_SCAF_7
LR-SCAF00057,cfa9a5d7,HUWE1_SCAF_8
LR-SCAF00058,997b697d,HUWE1_SCAF_9
LR-SCAF00059,3a594800,HUWE1_SCAF_10
LR-SCAF00060,bd615db5,HUWE1_SCAF_11
LR-SCAF00061,f7bf1bc0,HUWE1_SCAF_12
LR-SCAF00062,7718f69b,HUWE1_SCAF_13
LR-SCAF00063,3aca7c1e,HUWE1_SCAF_14
LR-SCAF00064,ea1e3ae9,HUWE1_SCAF_15
LR-SCAF00065,72a958c3,HUWE1_SCAF_16
LR-SCAF00066,bdfaa371,HUWE1_SCAF_17
LR-SCAF00067,5a256859,HUWE1_SCAF_18
LR-SCAF00068,88e5f8a8,HUWE1_SCAF_19
LR-SCAF00069,01f31866,HUWE1_SCAF_20
LR-SCAF00070,418e9198,HUWE1_SCAF_23
LR-SCAF00070,418e9198,KEAP1_SCAF_51
LR-SCAF00070,418e9198,VHL_SCAF_26
LR-SCAF00071,d28d1202,HUWE1_SCAF_24
LR-SCAF00071,d28d1202,MDM2_SCAF_4
LR-SCAF00072,ecbb6fde,KEAP1_SCAF_1
LR-SCAF00073,0b26e46c,KEAP1_SCAF_2
LR-SCAF00074,05912b3c,KEAP1_SCAF_3
LR-SCAF00075,311b46d0,KEAP1_SCAF_4
LR-SCAF00076,f5221fa3,KEAP1_SCAF_5
LR-SCAF00077,e51c3915,KEAP1_SCAF_6
LR-SCAF00078,58de46d6,KEAP1_SCAF_7
LR-SCAF00079,3e8a6e51,KEAP1_SCAF_8
LR-SCAF00080,200a7ad8,KEAP1_SCAF_9
LR-SCAF00081,8a66dc8b,KEAP1_SCAF_10
LR-SCAF00082,21fa3abd,KEAP1_SCAF_12
LR-SCAF00083,749cfe5e,KEAP1_SCAF_13
LR-SCAF00084,6690bd52,KEAP1_SCAF_14
LR-SCAF00085,ed248cf5,KEAP1_SCAF_15
LR-SCAF00086,fbf7beea,KEAP1_SCAF_16
LR-SCAF00087,5b76b7c4,KEAP1_SCAF_17
LR-SCAF00088,4122a3fc,KEAP1_SCAF_18
LR-SCAF00089,5f6bf38c,KEAP1_SCAF_19
LR-SCAF00090,0c9c5086,KEAP1_SCAF_20
LR-SCAF00090,0c9c5086,VHL_SCAF_4
LR-SCAF00091,8941fde7,KEAP1_SCAF_21
LR-SCAF00092,7a05a74a,KEAP1_SCAF_22
LR-SCAF00093,d2b2082b,KEAP1_SCAF_23
LR-SCAF00094,784e9d43,KEAP1_SCAF_24
