RECRUITER_CODE,Ligand,PDB_File,SMILES,Canonical_SMILES,InChIKey,Component_Status,Mapping_Status,Component_Heavy_Atoms,PDB_Heavy_Atoms,MCS_Atoms,Notes
LR00001,A90,Ligases/CHIP/PDB/9QEU_A90.pdb,O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1,O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1,IULOBWFWYDMECP-UHFFFAOYSA-N,valid_ccd,heavy_atom_count_mismatch,23,34,,CCD and coordinate ligand have different heavy-atom counts; review manually
LR00002,A91,Ligases/CHIP/PDB/9QF1_A91.pdb,Cc1cc(C#Cc2ccccc2CNn2ccoc2=O)nc(N)n1,Cc1cc(C#Cc2ccccc2CNn2ccoc2=O)nc(N)n1,ZUJWSOPIDUWELP-UHFFFAOYSA-N,valid_ccd,heavy_atom_count_mismatch,24,34,,CCD and coordinate ligand have different heavy-atom counts; review manually
LR00003,A87,Ligases/CHIP/PDB/9QFS_A87.pdb,CCCCN(CCc1c[nH]c2cc(O)ccc12)CCC1CCCCCC1,CCCCN(CCc1c[nH]c2cc(O)ccc12)CCC1CCCCCC1,KRICXPIAKQTZMM-UHFFFAOYSA-N,valid_ccd,heavy_atom_count_mismatch,26,29,,CCD and coordinate ligand have different heavy-atom counts; review manually
LR00004,A88,Ligases/CHIP/PDB/9QFY_A88.pdb,COc1cc(CN2C(=O)N(Cc3ccc(O)c(OC)c3)N(Cc3ccccc3)C[C@@H](O)[C@H]2Cc2ccccc2)ccc1O,COc1cc(CN2C(=O)N(Cc3ccc(O)c(OC)c3)N(Cc3ccccc3)C[C@@H](O)[C@H]2Cc2ccccc2)ccc1O,PMBZSBGCSQGJAQ-GRKNLSHJSA-N,valid_ccd,heavy_atom_count_mismatch,43,28,,CCD and coordinate ligand have different heavy-atom counts; review manually
LR00005,B07,Ligases/CHIP/PDB/9R1P_B07.pdb,COc1cccc(OC)c1C(=O)NCB(O)O,COc1cccc(OC)c1C(=O)NCB(O)O,SXURQNHWSSEFLG-UHFFFAOYSA-N,valid_ccd,heavy_atom_count_mismatch,17,38,,CCD and coordinate ligand have different heavy-atom counts; review manually
LR00006,EF2,Ligases/CRBN/PDB/4CI1_EF2.pdb,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,UEJJHQNACJXSKW-VIFPVBQESA-N,valid_ccd,full_heavy_atom_mcs,19,19,19,CCD graph and coordinate ligand fully mapped; safe for 2D SASA atom indices
LR00007,LVY,Ligases/CRBN/PDB/4CI2_LVY.pdb,Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O,Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O,GOTYRUGSSMKFNF-JTQLQIEISA-N,valid_ccd,full_heavy_atom_mcs,19,19,19,CCD graph and coordinate ligand fully mapped; safe for 2D SASA atom indices
LR00008,Y70,Ligases/CRBN/PDB/4CI3_Y70.pdb,Nc1cccc2c1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O,Nc1cccc2c1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O,UVSMNLNDYGZFPF-QMMMGPOBSA-N,valid_ccd,full_heavy_atom_mcs,20,20,20,CCD graph and coordinate ligand fully mapped; safe for 2D SASA atom indices
LR00009,LVY,Ligases/CRBN/PDB/4TZ4_LVY.pdb,Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O,Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O,GOTYRUGSSMKFNF-JTQLQIEISA-N,valid_ccd,full_heavy_atom_mcs,19,19,19,CCD graph and coordinate ligand fully mapped; safe for 2D SASA atom indices
LR00010,EF2,Ligases/CRBN/PDB/4TZC_EF2.pdb,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,UEJJHQNACJXSKW-VIFPVBQESA-N,valid_ccd,full_heavy_atom_mcs,19,19,19,CCD graph and coordinate ligand fully mapped; safe for 2D SASA atom indices
LR00011,Y70,Ligases/CRBN/PDB/4TZU_Y70.pdb,Nc1cccc2c1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O,Nc1cccc2c1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O,UVSMNLNDYGZFPF-QMMMGPOBSA-N,valid_ccd,full_heavy_atom_mcs,20,20,20,CCD graph and coordinate ligand fully mapped; safe for 2D SASA atom indices
