pdb,ligand,mw,decision,reason
1ATR,,,skip,low_identity
1ATS,,,skip,low_identity
1BA0,,,skip,low_identity
1BA1,,,skip,low_identity
1BUP,,,skip,low_identity
1CKR,,,skip,no_ligands
1ELW,,,skip,no_ligands
1G99,,,skip,low_identity
1HPM,,,skip,low_identity
1HX1,,,skip,low_identity
1I6Z,,,skip,no_ligands
1KAX,,,skip,low_identity
1KAY,,,skip,low_identity
1KAZ,,,skip,low_identity
1M62,,,skip,no_ligands
1NZ6,,,skip,no_ligands
1SAZ,ACP,505.208,keep,keep
1TUU,,,skip,low_identity
1TUY,,,skip,low_identity
1U6Z,,,skip,no_ligands
1UD0,,,skip,no_ligands
1X9J,,,skip,no_ligands
1YUW,,,skip,low_identity
2B26,,,skip,no_ligands
2BUP,,,skip,low_identity
2C2L,,,skip,no_ligands
2C2V,,,skip,no_ligands
2F42,,,skip,no_ligands
2L5I,,,skip,low_identity
2L5J,,,skip,low_identity
2LNI,,,skip,no_ligands
2NC9,,,skip,no_ligands
2OXQ,,,skip,no_ligands
2QW9,,,skip,low_identity
2QWL,,,skip,low_identity
2QWM,,,skip,low_identity
2QWN,,,skip,low_identity
2QWO,,,skip,low_identity
2QWP,,,skip,low_identity
2QWQ,,,skip,low_identity
2QWR,,,skip,low_identity
2V7Z,,,skip,low_identity
3C7N,BEF,66.007,skip,too_small
3CQX,,,skip,no_ligands
3ESK,,,skip,no_ligands
3FWV,,,skip,no_ligands
3FZF,,,skip,low_identity
3FZH,,,skip,low_identity
3FZK,,,skip,low_identity
3FZL,,,skip,low_identity
3FZM,,,skip,low_identity
3HSC,,,skip,low_identity
3LDL,,,skip,low_identity
3LDN,,,skip,low_identity
3LDO,,,skip,low_identity
3LDP,,,skip,low_identity
3LDQ,,,skip,low_identity
3M3Z,,,skip,low_identity
3Q47,,,skip,no_ligands
3Q49,,,skip,no_ligands
3Q4A,,,skip,no_ligands
3SZ7,,,skip,no_ligands
4FL9,TMO,75.11,skip,too_small
4FWK,,,skip,no_ligands
4FWL,,,skip,no_ligands
4FWM,,,skip,no_ligands
4FWN,AQP,587.161,keep,keep
4FWO,5GP,363.221,keep,keep
4FWP,,,skip,no_ligands
4FWQ,,,skip,no_ligands
4FWR,C5P,323.197,keep,keep
4FWS,,,skip,no_ligands
4H0O,,,skip,no_ligands
4H0P,,,skip,low_identity
4H5N,,,skip,low_identity
4H5R,,,skip,low_identity
4H5T,,,skip,low_identity
4H5V,,,skip,low_identity
